,Power [nW]
0,10759.659490522636
1,10759.659490522636
2,10759.659490522636
3,10759.659490522636
4,23707.67269527627
5,23707.67269527627
6,24484.356142331675
7,23707.67269527627
8,45795.71521638184
9,45795.71521638184
10,45040.061350225136
11,45040.061350225136
12,59975.41420972346
13,59099.80971533051
14,59476.664476439764
15,59099.80971533051
16,66472.38932039405
17,66472.39557796276
18,66472.38932039405
19,66472.3798320977
20,78955.02272018213
21,78955.65716986744
22,78955.02272018213
23,78955.65716986744
