BW,PERCENTAGE,Area [um^2],Energy [fJ]
8,12,22.125,8.9590
8,25,22.125,18.0611
8,38,22.125,27.4888
8,50,22.125,37.6605
8,62,22.125,37.7586
8,75,22.125,32.0974
8,88,22.125,30.6930
8,100,22.125,37.7508
10,10,28.437,10.0140
10,20,28.437,19.7895
10,30,28.437,29.5799
10,40,28.437,39.1933
10,50,28.437,49.4657
10,60,28.437,51.9286
10,70,28.437,47.3143
10,80,28.437,42.0380
10,90,28.437,40.6680
10,100,28.437,50.1477
12,8,34.748,10.8213
12,17,34.748,19.5950
12,25,34.748,29.4415
12,33,34.748,39.5330
12,42,34.748,50.4731
12,50,34.748,61.2708
12,58,34.748,62.5843
12,67,34.748,65.7753
12,75,34.748,53.0668
12,83,34.748,55.0110
12,92,34.748,47.0706
12,100,34.748,62.5446
14,7,41.060,9.3451
14,14,41.060,19.6115
14,21,41.060,30.5741
14,29,41.060,39.9857
14,36,41.060,50.6142
14,43,41.060,61.1834
14,50,41.060,73.0760
14,57,41.060,79.2171
14,64,41.060,72.3846
14,71,41.060,74.8267
14,79,41.060,68.1108
14,86,41.060,68.1516
14,93,41.060,61.4396
14,100,41.060,74.9415
16,6,47.371,9.7235
16,12,47.371,19.9460
16,19,47.371,32.3246
16,25,47.371,40.8219
16,31,47.371,52.4313
16,38,47.371,62.0229
16,44,47.371,72.1817
16,50,47.371,84.8812
16,56,47.371,89.1590
16,62,47.371,87.8261
16,69,47.371,84.6516
16,75,47.371,74.0363
16,81,47.371,80.0999
16,88,47.371,71.7221
16,94,47.371,70.4767
16,100,47.371,87.3384
18,6,53.683,10.1503
18,11,53.683,20.7865
18,17,53.683,30.8872
18,22,53.683,41.5341
18,28,53.683,51.6153
18,33,53.683,62.3401
18,39,53.683,72.4797
18,44,53.683,83.0682
18,50,53.683,96.6863
18,56,53.683,104.5070
18,61,53.683,99.4398
18,67,53.683,106.3710
18,72,53.683,98.6022
18,78,53.683,93.3094
18,83,53.683,87.7798
18,89,53.683,83.0445
18,94,53.683,84.1613
18,100,53.683,99.7353
20,5,59.994,10.5113
20,10,59.994,21.7820
20,15,59.994,31.3450
20,20,59.994,43.3376
20,25,59.994,52.2023
20,30,59.994,64.9257
20,35,59.994,73.0297
20,40,59.994,86.5335
20,45,59.994,93.8775
20,50,59.994,108.4910
20,55,59.994,113.7510
20,60,59.994,116.7840
20,65,59.994,109.5670
20,70,59.994,106.1150
