ML,Metric,Score
Linear,Cross-validation,0.7146917626089149
Linear,MAE,47.39586933874735
Linear,MSE,3278.946227258616
Linear,MAPE,0.667495223406374
SVG,Cross-validation,0.9844403250048865
SVG,MAE,6.764468241400101
SVG,MSE,124.97063487886315
SVG,MAPE,0.041286454380111394
Decision tree,Cross-validation,0.9859221100320275
Decision tree,MAE,9.975430821751345
Decision tree,MSE,161.53094972994742
Decision tree,MAPE,0.0656560215164066
XGB,Cross-validation,0.9947644786398163
XGB,MAE,4.989865192777768
XGB,MSE,52.61103871229291
XGB,MAPE,0.03593433380898631
Random forest,Cross-validation,0.9918310343374254
Random forest,MAE,6.583749942583791
Random forest,MSE,81.71102405919522
Random forest,MAPE,0.04618950049480055
Lasso,Cross-validation,0.7146919333688018
Lasso,MAE,47.394100817276936
Lasso,MSE,3278.8700209350764
Lasso,MAPE,0.6674747334714557
