BW,PERCENTAGE,Area [um^2],Power [nW]
2,50,2.485,204.9580
2,100,2.485,262.4140
4,25,6.204,306.5010
4,50,6.204,613.0020
4,75,6.204,865.0390
4,100,6.204,593.2010
6,17,10.046,312.8320
6,33,10.046,626.0460
6,50,10.046,940.0120
6,67,10.046,1128.1300
6,83,10.046,1452.1300
6,100,10.046,1196.8300
8,12,13.643,352.6370
8,25,13.643,705.3150
8,38,13.643,1057.9100
8,50,13.643,1410.8600
8,62,13.643,1890.7600
8,75,13.643,1946.0100
8,88,13.643,2214.0300
8,100,13.643,1247.8900
10,10,20.543,363.6590
10,20,20.543,727.5860
10,30,20.543,1091.3100
10,40,20.543,1453.7000
10,50,20.543,1820.3100
10,60,20.543,2451.6400
10,70,20.543,2719.1100
10,80,20.543,3024.4200
10,90,20.543,3313.0700
10,100,20.543,3270.5000
12,8,21.204,354.2400
12,17,21.204,709.6740
12,25,21.204,1066.7400
12,33,21.204,1420.8400
12,42,21.204,1776.4300
12,50,21.204,2133.8800
12,58,21.204,2791.4400
12,67,21.204,2417.3700
12,75,21.204,2918.2900
12,83,21.204,3577.0600
12,92,21.204,3901.8300
12,100,21.204,3120.6400
14,7,24.924,359.5960
14,14,24.924,723.0120
14,21,24.924,1084.3400
14,29,24.924,1447.9100
14,36,24.924,1807.7600
14,43,24.924,2169.4000
14,50,24.924,2533.0100
14,57,24.924,3023.8500
14,64,24.924,3462.6300
14,71,24.924,3548.1500
14,79,24.924,3860.3300
14,86,24.924,3761.5200
14,93,24.924,4254.0500
14,100,24.924,2516.4500
16,6,28.520,375.6990
16,12,28.520,751.4290
16,19,28.520,1127.1000
16,25,28.520,1503.0100
16,31,28.520,1878.4900
16,38,28.520,2254.2900
16,44,28.520,2629.8900
16,50,28.520,3006.6400
16,56,28.520,3936.9000
16,62,28.520,3995.9600
16,69,28.520,4273.5200
16,75,28.520,4109.7400
16,81,28.520,4606.5500
16,88,28.520,4660.6500
16,94,28.520,4937.0400
16,100,28.520,2557.2700
