BW,PERCENTAGE,Area [um^2],Power [nW]
2,50,2.485,219.7910
2,100,2.485,439.5830
4,25,12.660,559.8960
4,50,12.660,1056.3700
4,75,12.660,1244.0600
4,100,12.660,2111.1200
6,17,44.493,1606.1600
6,33,44.493,2712.7700
6,50,44.493,3207.2000
6,67,44.493,3184.5600
6,83,44.493,4147.2900
6,100,44.493,6406.1700
8,12,97.186,3528.5400
8,25,97.186,4973.0100
8,38,97.186,6915.9600
8,50,97.186,8387.7600
8,62,97.186,9005.7100
8,75,97.186,8599.2900
8,88,97.186,9727.4500
8,100,97.186,16425.5000
10,10,137.172,4828.7900
10,20,137.172,7439.4600
10,30,137.172,8798.6400
10,40,137.172,9114.7300
10,50,137.172,13356.6000
10,60,137.172,13833.1000
10,70,137.172,13745.2000
10,80,137.172,13730.5000
10,90,137.172,14972.4000
10,100,137.172,26083.0000
12,8,192.862,7196.9700
12,17,192.862,7883.1500
12,25,192.862,12647.8000
12,33,192.862,14291.1000
12,42,192.862,15459.9000
12,50,192.862,18753.2000
12,58,192.862,19013.4000
12,67,192.862,14115.1000
12,75,192.862,22582.0000
12,83,192.862,19092.3000
12,92,192.862,21556.1000
12,100,192.862,36647.5000
14,7,254.905,8558.5800
14,14,254.905,12118.3000
14,21,254.905,14294.7000
14,29,254.905,16150.9000
14,36,254.905,19326.9000
14,43,254.905,21600.0000
14,50,254.905,26267.6000
14,57,254.905,24775.9000
14,64,254.905,26826.2000
14,71,254.905,28238.6000
14,79,254.905,28787.6000
14,86,254.905,28178.8000
14,93,254.905,29971.4000
14,100,254.905,51157.3000
16,6,323.953,10787.9000
16,12,323.953,13924.8000
16,19,323.953,17198.6000
16,25,323.953,20194.1000
16,31,323.953,22615.9000
16,38,323.953,25381.9000
16,44,323.953,27933.5000
16,50,323.953,31407.9000
16,56,323.953,31747.1000
16,62,323.953,32662.4000
16,69,323.953,33940.7000
16,75,323.953,35715.3000
16,81,323.953,35690.2000
16,88,323.953,36197.3000
16,94,323.953,37020.4000
16,100,323.953,61335.1000
18,6,384.895,10471.1000
18,11,384.895,18957.3000
18,17,384.895,24443.0000
18,22,384.895,24669.5000
18,28,384.895,30675.8000
18,33,384.895,34409.0000
18,39,384.895,36228.2000
18,44,384.895,37093.7000
18,50,384.895,38269.6000
18,56,384.895,41502.9000
18,61,384.895,42532.0000
18,67,384.895,47060.9000
18,72,384.895,42505.6000
18,78,384.895,42514.3000
18,83,384.895,40837.7000
18,89,384.895,41559.9000
18,94,384.895,41149.9000
18,100,384.895,32585.6000
20,5,482.262,11754.4000
20,10,482.262,22532.2000
20,15,482.262,27022.4000
20,20,482.262,31838.5000
