PIPELINE,BW,PERCENTAGE,Area [um^2],Energy [fJ]
1,8,12,166.944,142.3730
1,8,25,166.944,177.9870
1,8,38,166.944,202.4050
1,8,50,166.944,226.4770
1,8,62,166.944,242.5320
1,8,75,166.944,242.7960
1,8,88,166.944,268.9080
1,8,100,166.944,357.4390
1,10,10,230.679,197.1740
1,10,20,230.679,238.5690
1,10,30,230.679,263.1170
1,10,40,230.679,270.2920
1,10,50,230.679,322.0550
1,10,60,230.679,336.8420
1,10,70,230.679,343.9450
1,10,80,230.679,337.7270
1,10,90,230.679,359.2700
1,10,100,230.679,522.2170
1,12,8,318.455,279.2510
1,12,17,318.455,278.7670
1,12,25,318.455,343.8610
1,12,33,318.455,380.7990
1,12,42,318.455,411.5380
1,12,50,318.455,438.5060
1,12,58,318.455,452.3630
1,12,67,318.455,411.1950
1,12,75,318.455,504.7290
1,12,83,318.455,467.1270
1,12,92,318.455,506.2770
1,12,100,318.455,726.2250
1,14,7,419.590,336.1250
1,14,14,419.590,352.5170
1,14,21,419.590,402.1460
1,14,29,419.590,439.9630
1,14,36,419.590,507.1460
1,14,43,419.590,545.8000
1,14,50,419.590,593.6100
1,14,57,419.590,582.1860
1,14,64,419.590,649.8350
1,14,71,419.590,639.5550
1,14,79,419.590,649.7580
1,14,86,419.590,644.3850
1,14,93,419.590,706.9010
1,14,100,419.590,1006.7200
1,16,6,534.083,413.6130
1,16,12,534.083,396.7140
1,16,19,534.083,498.8180
1,16,25,534.083,538.1080
1,16,31,534.083,608.8480
1,16,38,534.083,619.2250
1,16,44,534.083,722.4080
1,16,50,534.083,731.9620
1,16,56,534.083,792.6220
1,16,62,534.083,746.1960
1,16,69,534.083,801.2400
1,16,75,534.083,817.5080
1,16,81,534.083,836.8880
1,16,88,534.083,856.5600
1,16,94,534.083,862.0850
1,16,100,534.083,1255.7500
1,18,6,661.934,498.8960
1,18,11,661.934,496.4370
1,18,17,661.934,580.8460
1,18,22,661.934,629.0900
1,18,28,661.934,679.2450
1,18,33,661.934,791.5490
1,18,39,661.934,806.1590
1,18,44,661.934,872.3210
1,18,50,661.934,898.2340
1,18,56,661.934,965.6530
1,18,61,661.934,927.6610
1,18,67,661.934,944.2920
1,18,72,661.934,975.5300
