ML,Metric,Score
Linear,Cross-validation,0.8113259021262536
Linear,MAE,858.0139560557467
Linear,MSE,1278093.5019014527
Linear,MAPE,0.30987121313746546
SVG,Cross-validation,0.828651391897363
SVG,MAE,693.0954690440149
SVG,MSE,1213348.889452265
SVG,MAPE,0.14935656192699445
Decision tree,Cross-validation,0.9880746728096351
Decision tree,MAE,201.22728637094625
Decision tree,MSE,78493.52945524883
Decision tree,MAPE,0.054642053005500485
XGB,Cross-validation,0.9991013423401824
XGB,MAE,58.73316841851561
XGB,MSE,12398.470629488942
XGB,MAPE,0.016049924579099286
Random forest,Cross-validation,0.9923057846710952
Random forest,MAE,163.4267584760752
Random forest,MSE,55531.514166369336
Random forest,MAPE,0.04275690701098108
Lasso,Cross-validation,0.8113259024142934
Lasso,MAE,858.0098632077514
Lasso,MSE,1278107.689941424
Lasso,MAPE,0.309870656395907
