BW,PERCENTAGE,POWER [nW]
8,12,1.0050
8,25,1.3362
8,38,1.6684
8,50,2.0011
8,62,2.3340
8,75,2.6660
8,88,2.9986
8,100,3.3310
9,11,1.0926
9,22,1.4252
9,33,1.7574
9,44,2.0899
9,56,2.4224
9,67,2.7566
9,78,3.0877
9,89,3.4204
9,100,3.7530
10,10,1.1538
10,20,1.4864
10,30,1.8191
10,40,2.1517
10,50,2.4843
10,60,2.8169
10,70,3.1496
10,80,3.4823
10,90,3.8149
10,100,4.1476
11,9,1.2276
11,18,1.5606
11,27,1.8932
11,36,2.2262
11,45,2.5588
11,55,2.8916
11,64,3.2240
11,73,3.5568
11,82,3.8891
11,91,4.2217
11,100,4.5542
12,8,1.2755
12,17,1.6092
12,25,1.9427
12,33,2.2758
12,42,2.6081
12,50,2.9403
12,58,3.2727
12,67,3.6072
12,75,3.9382
12,83,4.2706
12,92,4.6033
12,100,4.9359
13,8,1.3558
13,15,1.6908
13,23,2.0245
13,31,2.3566
13,38,2.6882
13,46,3.0212
13,54,3.3541
13,62,3.6867
13,69,4.0187
13,77,4.3519
13,85,4.6844
13,92,5.0171
13,100,5.3497
14,7,1.4298
14,14,1.7663
14,21,2.0987
14,29,2.4301
14,36,2.7633
14,43,3.0965
14,50,3.4286
14,57,3.7610
14,64,4.0937
14,71,4.4268
14,79,4.7590
14,86,5.0919
14,93,5.4246
14,100,5.7573
15,7,1.4982
15,13,1.8355
15,20,2.1663
15,27,2.4983
15,33,2.8324
15,40,3.1653
15,47,3.4965
15,53,3.8299
15,60,4.1620
15,67,4.4970
15,73,4.8273
15,80,5.1609
15,87,5.4924
15,93,5.8252
15,100,6.1578
16,6,1.5659
16,12,1.9038
16,19,2.2332
16,25,2.5669
16,31,2.9000
16,38,3.2316
16,44,3.5650
16,50,3.8972
16,56,4.2299
16,62,4.5631
16,69,4.8945
16,75,5.2277
16,81,5.5604
16,88,5.8930
16,94,6.2256
16,100,6.5583
17,6,1.6403
17,12,1.9780
17,18,2.3069
17,24,2.6421
17,29,2.9731
17,35,3.3062
17,41,3.6393
17,47,3.9711
17,53,4.3043
17,59,4.6367
17,65,4.9690
17,71,5.3022
17,76,5.6342
17,82,5.9674
17,88,6.2996
17,94,6.6324
17,100,6.9650
18,6,1.7154
18,11,2.0523
18,17,2.3815
18,22,2.7172
18,28,3.0476
18,33,3.3820
18,39,3.7134
18,44,4.0469
18,50,4.3793
18,56,4.7120
18,61,5.0446
18,67,5.3799
18,72,5.7098
18,78,6.0427
18,83,6.3754
18,89,6.7082
18,94,7.0407
18,100,7.3735
19,5,1.7717
19,11,2.1070
19,16,2.4374
19,21,2.7723
19,26,3.1031
19,32,3.4375
19,37,3.7686
19,42,4.1028
19,47,4.4341
19,53,4.7680
19,58,5.0994
19,63,5.4333
19,68,5.7652
19,74,6.0985
19,79,6.4305
19,84,6.7637
19,89,7.0960
19,95,7.4290
19,100,7.7616
20,5,1.8281
20,10,2.1613
20,15,2.4938
20,20,2.8267
20,25,3.1594
20,30,3.4923
20,35,3.8249
20,40,4.1589
20,45,4.4902
20,50,4.8233
20,55,5.1560
20,60,5.4887
20,65,5.8214
20,70,6.1542
20,75,6.4870
20,80,6.8209
20,85,7.1524
20,90,7.4853
20,95,7.8179
20,100,8.1508
21,5,1.8974
21,10,2.2279
21,14,2.5629
21,19,2.8935
21,24,3.2282
21,29,3.5598
21,33,3.8937
21,38,4.2246
21,43,4.5590
21,48,4.8901
21,52,5.2243
21,57,5.5565
21,62,5.8896
21,67,6.2251
21,71,6.5549
21,76,6.8868
21,81,7.2201
21,86,7.5531
21,90,7.8852
21,95,8.2178
21,100,8.5507
22,5,1.9672
22,9,2.2952
22,14,2.6324
22,18,2.9612
22,23,3.2970
22,27,3.6270
22,32,3.9623
22,36,4.2931
22,41,4.6270
22,45,4.9588
22,50,5.2919
22,55,5.6246
22,59,5.9574
22,64,6.2900
22,68,6.6232
22,73,6.9554
22,77,7.2883
22,82,7.6208
22,86,7.9538
22,91,8.2863
22,95,8.6189
22,100,8.9517
23,4,2.0435
23,9,2.3688
23,13,2.7076
23,17,3.0352
23,22,3.3718
23,26,3.7014
23,30,4.0355
23,35,4.3680
23,39,4.7003
23,43,5.0335
23,48,5.3650
23,52,5.6989
23,57,6.0305
23,61,6.3634
23,65,6.6960
23,70,7.0283
23,74,7.3618
23,78,7.6938
23,83,8.0268
23,87,8.3590
23,91,8.6920
23,96,9.0243
23,100,9.3572
24,4,2.1254
24,8,2.4486
24,12,2.7887
24,17,3.1159
24,21,3.4516
24,25,3.7831
24,29,4.1153
24,33,4.4494
24,38,4.7800
24,42,5.1140
24,46,5.4455
24,50,5.7786
24,54,6.1116
24,58,6.4433
24,63,6.7772
24,67,7.1127
24,71,7.4420
24,75,7.7741
24,79,8.1068
24,83,8.4392
24,88,8.7719
24,92,9.1044
24,96,9.4368
24,100,9.7697
25,4,2.1758
25,8,2.4968
25,12,2.8380
25,16,3.1654
25,20,3.4999
25,24,3.8334
25,28,4.1638
25,32,4.4987
25,36,4.8297
25,40,5.1642
25,44,5.4961
25,48,5.8273
25,52,6.1613
25,56,6.4927
25,60,6.8259
25,64,7.1581
25,68,7.4920
25,72,7.8239
25,76,8.1557
25,80,8.4902
25,84,8.8218
25,88,9.1538
25,92,9.4866
25,96,9.8190
25,100,10.1519
26,4,2.2134
26,8,2.5324
26,12,2.8741
26,15,3.2028
26,19,3.5351
26,23,3.8703
26,27,4.2000
26,31,4.5345
26,35,4.8666
26,38,5.1980
26,42,5.5327
26,46,5.8637
26,50,6.1969
26,54,6.5299
26,58,6.8614
26,62,7.1949
26,65,7.5277
26,69,7.8592
26,73,8.1925
26,77,8.5248
26,81,8.8580
26,85,9.1902
26,88,9.5230
26,92,9.8555
26,96,10.1878
26,100,10.5207
27,4,2.3012
27,7,2.6185
27,11,2.9603
27,15,3.2904
27,19,3.6209
27,22,3.9580
27,26,4.2867
27,30,4.6200
27,33,4.9543
27,37,5.2843
27,41,5.6188
27,44,5.9517
27,48,6.2826
27,52,6.6165
27,56,6.9484
27,59,7.2810
27,63,7.6145
27,67,7.9499
27,70,8.2790
27,74,8.6116
27,78,8.9438
27,81,9.2761
27,85,9.6091
27,89,9.9422
27,93,10.2741
27,96,10.6064
27,100,10.9393
28,4,2.3777
28,7,2.6930
28,11,3.0347
28,14,3.3666
28,18,3.6952
28,21,4.0316
28,25,4.3628
28,29,4.6951
28,32,5.0294
28,36,5.3600
28,39,5.6933
28,43,6.0267
28,46,6.3574
28,50,6.6909
28,54,7.0241
28,57,7.3560
28,61,7.6885
28,64,8.0206
28,68,8.3550
28,71,8.6868
28,75,9.0190
28,79,9.3509
28,82,9.6841
28,86,10.0172
28,89,10.3494
28,93,10.6818
28,96,11.0141
28,100,11.3469
29,3,2.4167
29,7,2.7300
29,10,3.0708
29,14,3.4047
29,17,3.7319
29,21,4.0682
29,24,4.4012
29,28,4.7306
29,31,5.0658
29,34,5.3980
29,38,5.7292
29,41,6.0630
29,45,6.3959
29,48,6.7271
29,52,7.0611
29,55,7.3929
29,59,7.7251
29,62,8.0587
29,66,8.3913
29,69,8.7227
29,72,9.0561
29,76,9.3882
29,79,9.7214
29,83,10.0538
29,86,10.3862
29,90,10.7187
29,93,11.0513
29,97,11.3836
29,100,11.7165
30,3,2.4791
30,7,2.7912
30,10,3.1309
30,13,3.4670
30,17,3.7932
30,20,4.1288
30,23,4.4634
30,27,4.7925
30,30,5.1268
30,33,5.4608
30,37,5.7906
30,40,6.1264
30,43,6.4581
30,47,6.7888
30,50,7.1225
30,53,7.4558
30,57,7.7872
30,60,8.1203
30,63,8.4535
30,67,8.7892
30,70,9.1182
30,73,9.4509
30,77,9.7832
30,80,10.1177
30,83,10.4485
30,87,10.7808
30,90,11.1138
30,93,11.4465
30,97,11.7788
30,100,12.1117
31,3,2.5232
31,6,2.8338
31,10,3.1724
31,13,3.5100
31,16,3.8364
31,19,4.1703
31,23,4.5062
31,26,4.8354
31,29,5.1686
31,32,5.5032
31,35,5.8342
31,39,6.1658
31,42,6.5004
31,45,6.8318
31,48,7.1639
31,52,7.4977
31,55,7.8299
31,58,8.1614
31,61,8.4954
31,65,8.8268
31,68,9.1615
31,71,9.4934
31,74,9.8257
31,77,10.1576
31,81,10.4913
31,84,10.8230
31,87,11.1553
31,90,11.4882
31,94,11.8207
31,97,12.1530
31,100,12.4859
32,3,2.5808
32,6,2.9439
32,9,3.2826
32,12,3.6740
32,16,4.0527
32,19,4.3851
32,22,4.7753
32,25,5.1048
32,28,5.4893
32,31,5.8762
32,34,6.2084
32,38,6.5920
32,41,6.9789
