INPUT,BW,PERCENTAGE,Area [um^2],Energy [fJ]
2,8,12,53.402,10.0498
2,8,25,53.402,13.3624
2,8,38,53.402,16.6844
2,8,50,53.402,20.011
2,8,62,53.402,23.3404
2,8,75,53.402,26.6599
2,8,88,53.402,29.9855
2,8,100,53.402,33.3101
2,9,11,56.879,10.9263
2,9,22,56.879,14.2525
2,9,33,56.879,17.574
2,9,44,56.879,20.8995
2,9,56,56.879,24.2236
2,9,67,56.879,27.5663
2,9,78,56.879,30.8772
2,9,89,56.879,34.2044
2,9,100,56.879,37.5302
2,10,10,60.356,11.5383
2,10,20,60.356,14.8636
2,10,30,60.356,18.1907
2,10,40,60.356,21.5165
2,10,50,60.356,24.843
2,10,60,60.356,28.1691
2,10,70,60.356,31.4962
2,10,80,60.356,34.8226
2,10,90,60.356,38.149
2,10,100,60.356,41.476
2,11,9,63.833,12.276
2,11,18,63.833,15.6062
2,11,27,63.833,18.9319
2,11,36,63.833,22.2625
2,11,45,63.833,25.5877
2,11,55,63.833,28.9155
2,11,64,63.833,32.2398
2,11,73,63.833,35.5675
2,11,82,63.833,38.891
2,11,91,63.833,42.2169
2,11,100,63.833,45.5424
2,12,8,67.31,12.7552
2,12,17,67.31,16.0921
2,12,25,67.31,19.4272
2,12,33,67.31,22.7584
2,12,42,67.31,26.0806
2,12,50,67.31,29.4032
2,12,58,67.31,32.7274
2,12,67,67.31,36.072
2,12,75,67.31,39.3816
2,12,83,67.31,42.7065
2,12,92,67.31,46.0326
2,12,100,67.31,49.359
2,13,8,70.787,13.5583
2,13,15,70.787,16.908
2,13,23,70.787,20.2447
2,13,31,70.787,23.5663
2,13,38,70.787,26.8824
2,13,46,70.787,30.2121
2,13,54,70.787,33.5409
2,13,62,70.787,36.8675
2,13,69,70.787,40.1871
2,13,77,70.787,43.5187
2,13,85,70.787,46.8443
2,13,92,70.787,50.1713
2,13,100,70.787,53.4966
2,14,7,74.264,14.2977
2,14,14,74.264,17.6625
2,14,21,74.264,20.9872
2,14,29,74.264,24.3014
2,14,36,74.264,27.6327
2,14,43,74.264,30.9653
2,14,50,74.264,34.2863
2,14,57,74.264,37.6098
2,14,64,74.264,40.9369
2,14,71,74.264,44.2684
2,14,79,74.264,47.5899
2,14,86,74.264,50.9188
2,14,93,74.264,54.2464
2,14,100,74.264,57.5733
2,15,7,77.741,14.9819
2,15,13,77.741,18.3553
2,15,20,77.741,21.6634
2,15,27,77.741,24.9825
2,15,33,77.741,28.3236
2,15,40,77.741,31.6528
2,15,47,77.741,34.9646
2,15,53,77.741,38.2986
2,15,60,77.741,41.6199
2,15,67,77.741,44.97
2,15,73,77.741,48.2733
2,15,80,77.741,51.6091
2,15,87,77.741,54.9241
2,15,93,77.741,58.252
2,15,100,77.741,61.5776
2,16,6,81.218,15.6592
2,16,12,81.218,19.0383
2,16,19,81.218,22.3318
2,16,25,81.218,25.6693
2,16,31,81.218,28.9995
2,16,38,81.218,32.3164
2,16,44,81.218,35.6497
2,16,50,81.218,38.9721
2,16,56,81.218,42.2991
2,16,62,81.218,45.6312
2,16,69,81.218,48.9452
2,16,75,81.218,52.2767
2,16,81,81.218,55.6043
2,16,88,81.218,58.9298
2,16,94,81.218,62.256
2,16,100,81.218,65.5828
2,17,6,85.347,16.4035
2,17,12,85.347,19.7802
