ML,Metric,Score
Linear,Cross-validation,0.9102497088273672
Linear,MAE,8.78753086832233
Linear,MSE,156.95393064179396
Linear,MAPE,0.18440435644149866
SVG,Cross-validation,0.9900863317623756
SVG,MAE,2.4625356762335757
SVG,MSE,17.356259509755887
SVG,MAPE,0.02855639010376648
Decision tree,Cross-validation,0.9892940285517822
Decision tree,MAE,3.9875294793650786
Decision tree,MSE,22.197302376248402
Decision tree,MAPE,0.057191393897795706
XGB,Cross-validation,0.9993693476555581
XGB,MAE,0.9976805783235853
XGB,MSE,1.8083482226132945
XGB,MAPE,0.014245524441843509
Random forest,Cross-validation,0.9976007049399996
Random forest,MAE,1.4396966549999712
Random forest,MSE,4.779893179653595
Random forest,MAPE,0.019934422700126936
Lasso,Cross-validation,0.9102456629650086
Lasso,MAE,8.774633942858943
Lasso,MSE,156.78929582605488
Lasso,MAPE,0.18358400813814002
