Resource;Kind;#Inputs;InWidth;OutWidth;Count;#Words;Seq(#FF);Comb;Total
fir_Mul_8Ux8U_11U_4;mul;2;8,8;11;1;;;322.2;322.2
fir_N_Mux_8_8_12_4;mux;8;8;8;1;;;95.8;95.8
fir_Add_11Ux11U_11U_4;add;2;11,11;11;1;;;85.2;85.2
fir_gen_busy_r_1;function;3;1,1,1;3;1;;;18.5;18.5
fir_Add_3U_4_4;add;1;3;3;2;;;13.6;13.6
fir_Add_3Ux1U_4U_4;add;2;3,1;4;1;;;11.3;11.3
fir_And_1Ux1U_1U_1;and;2;1,1;1;1;;;8.9;8.9
fir_Xor_1Ux1U_1U_1;xor;2;1,1;1;1;;;4.4;4.4
fir_Not_1U_1U_1;not;1;1;1;1;;;4.1;4.1
fir_N_Muxb_1_2_11_4;mux;2;1;1;1;;;2.4;2.4
fir_LessThan_1U_10_4;lt;1;3;1;1;;;1.7;1.7
fir_Or_1Ux1U_1U_4;or;2;1,1;1;1;;;1.4;1.4
shift_reg;fir_RAM_8X8_1;;;1;1;8;;0.0;0.0
dout_data;regr_en;1;11;11;;;82.8(11);0.0;82.8
din_m_busy_req_0;regr_en_ss;1;1;1;;;7.5(1);1.4;8.9
dout_m_req_m_trig_req;regr_en_sc;1;1;1;;;7.5(1);1.4;8.9
s_reg_19;regr_en;1;3;3;;;22.6(3);0.0;22.6
sreg_1;regr_en;1;4;4;;;30.1(4);0.0;30.1
global_state;regr_en_sc;1;4;4;;;30.1(4);5.5;35.6
gs_ctrl0;regr_en_sc;1;2;2;;;15.0(2);2.7;17.8
gs_ctrl1;regr_en_ss_sc;1;2;2;;;15.0(2);4.1;19.2
gs_ctrl2;regr_en_ss;1;1;1;;;7.5(1);1.4;8.9
gs_ctrl3;regr_en_sc;1;1;1;;;7.5(1);1.4;8.9
gs_ctrl4;regr_en_sc;1;1;1;;;7.5(1);1.4;8.9
din_m_unvalidated_req;regr_ss;1;1;1;;;5.5(1);1.4;6.8
dout_m_unacked_req;regr_sc;1;1;1;;;5.5(1);1.4;6.8
dout_m_req_m_prev_trig_req;regr_sc;1;1;1;;;5.5(1);1.4;6.8
drive_din_m_busy_req_0;mux_1bx2i2c;2;1;1;1;;;2.3;2.3
cntrl;cntrl;;;;;;;101.6;101.6
drive_shift_reg_RW;mux_1bx2i2c;2;1;1;1;;;2.3;2.3
drive_shift_reg_DIN;mux_8bx3i1c;3;8;8;1;;;24.7;24.7
drive_gs_ctrl0;mux_2bx3i3c;3;2;2;1;;;5.5;5.5
drive_gs_ctrl1;mux_2bx3i3c;3;2;2;1;;;5.5;5.5
drive_global_state_next;mux_4bx4i3c;4;4;4;1;;;15.9;15.9
drive_gs_ctrl2;mux_1bx2i2c;2;1;1;1;;;2.3;2.3
drive_stall0;mux_1bx3i1c;3;1;1;1;;;3.8;3.8
drive_gs_ctrl3;mux_1bx2i2c;2;1;1;1;;;2.3;2.3
drive_s_reg_19;mux_3bx3i1c;3;3;3;1;;;10.0;10.0
drive_gs_ctrl4;mux_1bx2i2c;2;1;1;1;;;2.3;2.3
drive_shift_reg_in1;mux_3bx11i8c;11;3;3;1;;;33.4;33.4
drive_shift_reg_CE;mux_1bx2i2c;2;1;1;1;;;2.3;2.3
drive_fir_Add_3Ux1U_4U_4_11_in2;mux_3bx2i1c;2;3;3;1;;;8.2;8.2
drive_fir_Add_3U_4_4_8_in1;mux_3bx2i1c;2;3;3;1;;;8.2;8.2
drive_dout_data;mux_11bx3i1c;3;11;11;1;;;33.3;33.3
All Resources;;;;;;;249.6(34);856.9;1106.4
