,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,Power [nW]
0,adder,1.04,3.67,1.92,1.92,671.422
1,adder,1.04,4.05,2.04,2.04,712.273
2,adder,1.04,4.01,2.03,2.03,712.518
3,adder,1.04,4.02,2.03,2.03,717.247
4,adder,1.04,3.73,1.94,1.94,672.181
5,adder,1.04,3.64,1.91,1.91,684.373
6,adder,1.04,4.05,2.04,2.04,712.332
7,adder,1.04,3.91,2.0,2.0,713.648
8,adder,1.04,4.2,2.09,2.09,722.002
9,adder,2.08,7.76,3.97,3.97,1397.63
10,adder,2.08,8.28,4.14,4.14,1461.4
11,adder,2.08,8.23,4.13,4.13,1452.67
12,adder,2.08,7.83,3.99,3.99,1419.43
13,adder,2.08,7.81,3.99,3.99,1406.6
14,adder,2.08,7.61,3.92,3.92,1378.84
15,adder,2.08,8.62,4.26,4.26,1499.22
16,adder,2.08,8.22,4.12,4.12,1455.88
17,adder,2.08,8.01,4.05,4.05,1427.25
18,adder,3.11,11.18,5.8,5.8,2060.03
19,adder,3.11,11.48,5.9,5.9,2082.34
20,adder,3.11,11.08,5.77,5.77,2032.74
21,adder,3.11,11.87,6.03,6.03,2132.04
22,adder,3.11,11.29,5.84,5.84,2072.08
23,adder,3.11,10.96,5.73,5.73,2025.36
24,adder,3.11,11.39,5.87,5.87,2071.16
25,adder,3.11,11.08,5.77,5.77,2041.29
26,adder,3.11,10.9,5.71,5.71,2017.35
27,adder,4.15,14.92,7.74,7.74,2748.69
28,adder,4.15,14.62,7.64,7.64,2704.91
29,adder,4.15,14.6,7.63,7.63,2700.12
30,adder,4.15,14.99,7.76,7.76,2749.78
31,adder,4.15,14.55,7.62,7.62,2693.79
32,adder,4.15,14.28,7.53,7.53,2669.85
33,adder,4.15,14.92,7.74,7.74,2739.56
34,adder,4.15,14.62,7.64,7.64,2712.47
35,adder,4.15,14.72,7.67,7.67,2707.29
36,adder,5.19,17.19,9.19,9.19,3241.57
37,adder,5.19,18.31,9.56,9.56,3382.42
38,adder,5.19,18.05,9.47,9.47,3363.53
39,adder,5.19,17.38,9.25,9.25,3285.15
40,adder,5.19,17.67,9.35,9.35,3309.2
41,adder,5.19,17.33,9.24,9.24,3274.82
42,adder,5.19,17.86,9.41,9.41,3342.57
43,adder,5.19,17.78,9.38,9.38,3322.33
44,adder,5.19,17.7,9.36,9.36,3313.16
45,adder,6.23,20.23,10.89,10.89,3868.78
46,adder,6.23,20.19,10.88,10.88,3851.6
47,adder,6.23,20.46,10.97,10.97,3888.51
48,adder,6.23,20.08,10.84,10.84,3841.22
49,adder,6.23,20.24,10.9,10.9,3859.82
50,adder,6.23,20.54,11.0,11.0,3889.7
51,adder,6.23,20.89,11.11,11.11,3911.73
52,adder,6.23,20.12,10.86,10.86,3844.15
53,adder,6.23,20.33,10.93,10.93,3865.51
54,adder,7.26,22.87,12.47,12.47,4417.23
55,adder,7.26,22.45,12.32,12.32,4382.25
56,adder,7.26,23.35,12.62,12.62,4473.99
57,adder,7.26,23.63,12.72,12.72,4509.08
58,adder,7.26,23.22,12.58,12.58,4457.8
59,adder,7.26,23.24,12.59,12.59,4449.15
60,adder,7.26,22.71,12.41,12.41,4418.34
61,adder,7.26,22.74,12.42,12.42,4402.06
62,adder,7.26,22.91,12.48,12.48,4417.5
63,adder,8.3,25.26,13.95,13.95,4957.79
64,adder,8.3,25.19,13.93,13.93,4947.18
65,adder,8.3,25.4,14.0,14.0,4953.98
66,adder,8.3,24.63,13.74,13.74,4872.21
67,adder,8.3,25.66,14.09,14.09,4976.34
68,adder,8.3,25.64,14.08,14.08,4985.4
69,adder,8.3,25.76,14.12,14.12,5021.66
70,adder,8.3,26.22,14.27,14.27,5058.8
71,adder,8.3,25.41,14.0,14.0,4967.33
72,adder,9.34,27.31,15.33,15.33,5438.46
73,adder,9.34,27.41,15.36,15.36,5455.84
74,adder,9.34,27.27,15.32,15.32,5435.43
75,adder,9.34,27.03,15.23,15.23,5414.48
76,adder,9.34,27.19,15.29,15.29,5422.47
77,adder,9.34,27.44,15.37,15.37,5467.47
78,adder,9.34,27.34,15.34,15.34,5438.33
79,adder,9.34,26.96,15.21,15.21,5413.61
80,adder,9.34,27.47,15.38,15.38,5457.91
81,adder,10.38,29.88,16.88,16.88,5998.65
82,adder,10.38,29.34,16.7,16.7,5927.12
83,adder,10.38,29.49,16.75,16.75,5965.75
84,adder,10.38,29.55,16.77,16.77,5974.28
85,adder,10.38,29.51,16.75,16.75,5953.68
86,adder,10.38,29.59,16.78,16.78,5960.67
87,adder,10.38,29.72,16.82,16.82,5991.31
88,adder,10.38,29.75,16.83,16.83,5974.67
89,adder,10.38,29.82,16.86,16.86,5985.15
90,adder,11.41,31.29,18.04,18.04,6426.27
91,adder,11.41,31.58,18.13,18.13,6449.45
92,adder,11.41,31.82,18.21,18.21,6470.72
93,adder,11.41,31.83,18.22,18.22,6478.66
94,adder,11.41,31.1,17.98,17.98,6404.98
95,adder,11.41,30.84,17.89,17.89,6361.45
96,adder,11.41,31.29,18.04,18.04,6424.99
97,adder,11.41,31.05,17.96,17.96,6374.03
98,adder,11.41,31.87,18.23,18.23,6471.2
99,adder,12.45,33.36,19.42,19.42,6921.16
100,adder,12.45,33.64,19.51,19.51,6936.13
