Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%]
0,add0,49.39,50.56,49.78,14970.6,15914.47257051406,-6.3
1,add1,50.05,49.72,49.94,15139.5,15893.54323156307,-4.98
2,add2,49.57,50.25,49.79,15155.4,15914.42975568992,-5.01
3,mul0,89.94,49.37,69.66,268193.0,286587.5966742443,-6.86
4,mul1,89.93,49.41,69.67,268278.0,286586.6531049154,-6.82
5,mul2,89.91,49.55,69.73,268259.0,286586.6531049154,-6.83
6,mul3,90.03,49.43,69.73,268809.0,286586.6531049154,-6.61
7,reg_Q0,49.37,49.37,49.37,18752.0,18971.102397531413,-1.17
8,reg_Q1,50.56,50.56,50.56,18876.0,19101.998989939384,-1.2
9,reg_Q2,49.72,49.72,49.72,18771.0,18971.102397531413,-1.07
10,reg_Y,50.25,50.25,50.25,18032.0,18971.102397531413,-5.21
11,zfir_12bit,89.94,50.25,50.25,1259000.0,1270085.3077292915,-0.88
