,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,Power [nW],
0,0.78,2.981111111,1.512222222,1.512222222,627.2175556,
1,1.56,6.015555556,3.041111111,3.041111111,1268.862222,
2,3.11,11.36333333,5.861111111,5.861111111,2452.866044,
3,3.89,13.82111111,7.202222222,7.202222222,3012.8736,
4,4.67,16.20111111,8.514444444,8.514444444,3562.410133,
5,6.23,20.27333333,10.90777778,10.90777778,4575.784889,
6,7,22.13,12.04555556,12.04555556,5055.942222,
7,7.78,24.04333333,13.20333333,13.20333333,5545.646578,
8,9.34,27.52555556,15.40111111,15.40111111,6471.152356,
9,10.12,28.95777778,16.39777778,16.39777778,6901.535911,
10,10.89,30.29666667,17.36,17.36,7311.810489,
11,12.45,33.14888889,19.35,19.35,8147.262933,
12,13.23,34.18888889,20.21555556,20.21555556,8530.212533,
13,14.01,35.32555556,21.11222222,21.11222222,8915.006222,
14,14.78,36.31,21.96,21.96,9271.582222,
15,15.56,37.55222222,22.89444444,22.89444444,9674.162667,
16,17.12,39.1,24.44777778,24.44777778,10340.82133,
17,17.9,40.13888889,25.31111111,25.31111111,10716.08267,
18,18.68,40.89666667,26.08222222,26.08222222,11034.01689,
19,20.23,42.25222222,27.57,27.57,11690.39911,
20,21.01,42.96555556,28.32666667,28.32666667,12015.86222,
21,21.79,43.57555556,29.05111111,29.05111111,12335.576,
22,23.34,44.81,30.5,30.5,12953.39467,
23,24.12,45.23555556,31.16,31.16,13255.09778,
24,24.9,45.80222222,31.86777778,31.86777778,13572.00533,
25,25.68,46.32444444,32.55888889,32.55888889,13862.45422,
26,26.46,46.6,33.17222222,33.17222222,14133.86578,
27,28.01,47.40111111,34.47666667,34.47666667,14708.96533,
28,28.79,47.52444444,35.03555556,35.03555556,14952.93067,
29,29.57,47.82555556,35.65555556,35.65555556,15218.14311,
30,31.13,48.34,36.86222222,36.86222222,15764.79911,
31,31.9,48.44666667,37.41777778,37.41777778,16005.528,
32,32.68,48.74888889,38.03888889,38.03888889,16266.24267,
33,34.24,50.10888889,39.19333333,39.19333333,16778.68622,
34,35.02,50.25777778,39.76222222,39.76222222,17034.13067,
35,35.79,50.42222222,40.33777778,40.33777778,17283.50311,
36,36.57,50.68,40.94222222,40.94222222,17548.10933,
37,37.35,50.77222222,41.49222222,41.49222222,17802.67378,
38,38.91,50.74555556,42.51888889,42.51888889,18263.97956,
39,39.69,50.95,43.10777778,43.10777778,18521.36978,
40,40.46,50.89555556,43.60777778,43.60777778,18742.51378,
41,42.02,50.89111111,44.64333333,44.64333333,19206.15644,1
42,42.8,50.74444444,45.11222222,45.11222222,19420.92533,
43,43.58,50.84444444,45.66444444,45.66444444,19663.56089,
44,45.13,49.98222222,46.75,46.75,20159.48,
45,45.91,49.95888889,47.25888889,47.25888889,20365.03822,
46,46.69,50.01,47.79444444,47.79444444,20618.576,
47,48.24,49.88555556,48.79111111,48.79111111,21067.45422,
48,49.02,49.77333333,49.27111111,49.27111111,21282.01778,
49,49.8,49.85222222,49.81777778,49.81777778,21526.84356,
50,50.58,50.01111111,50.38888889,50.38888889,21773.40978,
