Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%],VL,err_VL [%],area [um2],est_area [um2],est_area_err [%]
0,add0,48.8,49.85,49.15,20191.3,21282.0178,-5.4,13951.2,30.90%,,,
1,add1,49.36,49.77,49.5,20466.7,21282.0178,-3.98,13951.2,31.83%,,,
2,add2,49.25,49.94,49.48,20473.2,21282.0178,-3.95,13951.2,31.86%,,,
3,mul0,66.3,48.86,57.58,479709,484241.3569,-0.94,185336,61.36%,,,
4,mul1,66.11,48.75,57.43,477567,484240.9662,-1.4,185336,61.19%,,,
5,mul2,66.27,48.87,57.57,479787,484241.3569,-0.93,185336,61.37%,,,
6,mul3,66.29,48.74,57.52,479934,484240.9662,-0.9,185336,61.38%,,,
7,reg_Q0,48.86,48.86,48.86,24928,25119.7134,-0.77,4364.49,82.49%,,,
8,reg_Q1,49.85,49.85,49.85,25068,25294.62299,-0.9,4364.49,82.59%,,,
9,reg_Q2,49.77,49.77,49.77,25055,25294.62299,-0.96,4364.49,82.58%,,,
10,reg_Y,49.94,49.94,49.94,24002,25294.62299,-5.39,4364.49,81.82%,,,
11,zfir_8bit,66.3,49.94,49.94,2160670,2101814.282,2.72,,,,,
