,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,Power [nW]
0,1.03,4.714444444444444,2.873333333333333,2.7677777777777783,1438.7436599999999
1,2.08,9.38888888888889,5.73,5.52,2946.6963600000004
2,3.11,14.54888888888889,8.83,8.512222222222222,4388.346
3,4.15,19.257777777777775,11.703333333333333,11.286666666666669,5656.8333
4,5.19,24.293333333333333,14.74111111111111,14.217777777777776,7036.457759999999
5,6.23,28.833333333333332,17.52777777777778,16.904444444444444,7986.542879999999
6,7.260000000000001,29.893333333333334,18.576666666666668,17.85222222222222,9012.99948
7,8.3,31.731111111111108,20.016666666666666,19.188888888888886,10126.7946
8,9.34,32.40222222222222,20.86888888888889,19.936666666666664,11035.6146
9,10.38,33.65555555555555,22.015555555555554,20.985555555555557,11898.147
10,11.42,35.52333333333333,23.46888888888889,22.31555555555556,12929.723999999998
11,12.45,36.39222222222222,24.422222222222224,23.191111111111113,14010.669
12,13.33,36.22666666666666,24.779999999999998,23.44222222222222,14289.7512
13,14.229999999999999,37.13999999999999,25.681111111111115,24.266666666666666,15247.5924
14,15.119999999999997,38.17888888888889,26.647777777777776,25.14,16328.5068
15,16.01,38.51555555555555,27.263333333333335,25.662222222222223,16900.7166
16,16.9,39.471111111111114,28.185555555555556,26.487777777777776,18032.9778
17,17.79,39.687777777777775,28.741111111111106,26.94888888888889,18454.0644
18,18.68,40.36888888888889,29.52111111111111,27.646666666666665,19390.5978
19,19.71,40.936666666666675,30.324444444444445,28.36111111111111,20375.6424
20,20.75,41.153333333333336,30.952222222222222,28.876666666666665,21034.4808
21,21.79,42.01111111111111,31.900000000000002,29.716666666666665,22572.3756
22,22.83,42.44444444444444,32.635555555555555,30.348888888888894,23078.550600000002
23,23.87,42.43666666666667,33.15222222222222,30.762222222222224,23886.1152
24,24.9,42.913333333333334,33.91,31.414444444444445,24508.0398
25,25.93,42.86888888888888,34.40222222222223,31.79888888888889,25584.435600000004
26,26.98,43.5611111111111,35.26888888888889,32.57333333333334,26469.163199999995
27,28.01,43.63777777777778,35.82111111111111,33.028888888888886,27237.886199999997
28,29.049999999999997,43.68111111111111,36.364444444444445,33.46000000000001,28252.062
29,30.09,44.18444444444445,37.13777777777778,34.123333333333335,29114.4516
30,31.130000000000003,44.513333333333335,37.81888888888889,34.70555555555555,30108.288599999996
31,32.01,44.611111111111114,38.312222222222225,35.10222222222222,30770.309400000002
32,32.9,44.56222222222222,38.73,35.43555555555555,31317.906600000002
33,33.79,44.730000000000004,39.26,35.88,32194.0764
34,34.68,44.92666666666666,39.80555555555556,36.327777777777776,32783.055
35,35.57,45.013333333333335,40.29555555555556,36.72888888888889,33698.331600000005
36,36.47,45.39333333333334,40.92888888888889,37.27666666666667,34561.1496
37,37.35,45.36666666666667,41.35999999999999,37.629999999999995,34990.0494
38,38.38,45.71111111111111,42.04777777777778,38.21666666666667,36337.9386
39,39.43,45.72,42.57222222222222,38.63,37073.1954
40,40.46,45.826666666666675,43.14111111111111,39.07444444444444,37882.137
41,41.5,45.908888888888896,43.70444444444445,39.56111111111111,38671.107
42,42.54,45.95777777777778,44.25,39.98888888888889,39415.1154
43,43.58,45.983333333333334,44.78,40.42111111111112,40473.1818
44,44.61,46.217777777777776,45.41444444444445,40.94222222222223,41074.278
45,45.65,46.16222222222222,45.904444444444444,41.349999999999994,41997.8064
46,46.69,46.44888888888889,46.56888888888889,41.888888888888886,43176.171599999994
47,47.73,46.16111111111111,46.94555555555556,42.16555555555556,43973.9238
48,48.77,46.6,47.68333333333333,42.81111111111111,44431.73039999999
49,49.8,46.55222222222222,48.175555555555555,43.18888888888889,45795.7152
50,50.83,46.51888888888888,48.67777777777778,43.59777777777778,46517.61
51,51.88,46.67777777777778,49.27555555555555,44.09888888888889,47268.9624
52,52.91,46.51777777777777,49.71444444444444,44.418888888888894,47835.2664
53,53.95,46.79555555555555,50.37444444444444,44.98888888888889,49344.7338
54,54.99,47.022222222222226,51.00888888888889,45.51888888888888,49951.8378
55,56.03,46.61666666666666,51.32222222222222,45.724444444444444,50636.8392
56,57.059999999999995,47.00222222222222,52.031111111111116,46.32888888888888,51614.713200000006
57,58.099999999999994,46.99444444444445,52.54666666666667,46.714444444444446,52358.058600000004
58,59.14,47.18555555555556,53.16,47.24777777777778,53504.58959999999
59,60.18,47.392222222222216,53.78333333333333,47.760000000000005,54405.790199999996
60,61.22,47.24111111111111,54.22888888888889,48.11222222222222,55219.995
61,62.25,47.513333333333335,54.88111111111112,48.654444444444444,56068.66560000001
62,63.14,47.39777777777778,55.26555555555555,48.946666666666665,56380.72440000001
63,64.03,47.48777777777778,55.756666666666675,49.34111111111111,58039.8666
64,64.92,47.45444444444445,56.18555555555556,49.68666666666667,58291.388399999996
65,65.81,47.620000000000005,56.71333333333334,50.126666666666665,59099.8098
66,66.7,47.40111111111112,57.04888888888888,50.366666666666674,59802.79380000001
67,67.59,47.52333333333334,57.55444444444444,50.80111111111111,60491.9058
68,68.48,47.3688888888889,57.92222222222222,51.07111111111111,60896.25419999998
