,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,Power [nW]
0,1.04,4.067777777777778,2.061111111111111,2.061111111111111,1314.2594666666666
1,2.08,7.887777777777777,4.041111111111111,4.041111111111111,2573.118044444445
2,3.11,11.135555555555555,5.825555555555556,5.825555555555556,3721.199288888889
3,4.15,14.353333333333332,7.598888888888889,7.598888888888889,4853.260622222222
4,5.19,17.306666666666665,9.283333333333335,9.283333333333335,5935.450399999999
5,6.23,20.028888888888886,10.88888888888889,10.88888888888889,6972.161777777777
6,7.260000000000001,22.566666666666666,12.434444444444445,12.434444444444445,7970.080799999998
7,8.3,24.832222222222224,13.886666666666668,13.886666666666668,8908.142222222223
8,9.34,27.08111111111111,15.333333333333334,15.333333333333334,9847.287999999999
9,10.38,28.988888888888887,16.663333333333338,16.663333333333338,10709.952000000001
10,11.41,30.954444444444448,18.018888888888892,18.018888888888892,11590.880888888889
11,12.45,32.54333333333333,19.24,19.24,12386.899555555556
12,12.97,33.43666666666667,19.885555555555555,19.885555555555555,12812.389333333333
13,13.49,34.31222222222222,20.526666666666667,20.526666666666667,13229.597333333335
14,14.529999999999998,35.67333333333333,21.67,21.67,13980.667555555556
15,15.559999999999999,37.11333333333332,22.846666666666668,22.846666666666668,14753.141333333331
16,16.6,38.33555555555556,23.94666666666667,23.94666666666667,15476.198222222221
17,17.64,39.32555555555556,24.965555555555554,24.965555555555554,16156.037333333332
18,18.68,40.55111111111111,26.066666666666666,26.066666666666666,16881.382222222222
19,19.71,41.642222222222216,27.12333333333333,27.12333333333333,17575.115555555556
20,20.75,42.4511111111111,28.08222222222222,28.08222222222222,18211.384888888893
21,21.79,43.04,28.970000000000002,28.970000000000002,18809.824
22,22.83,43.919999999999995,29.954444444444448,29.954444444444448,19460.476444444444
23,23.86,44.51555555555556,30.84222222222222,30.84222222222222,20059.629333333334
24,24.9,45.25666666666666,31.781111111111116,31.781111111111116,20681.89688888889
25,25.94,45.75222222222222,32.63444444444444,32.63444444444444,21258.159999999996
26,26.98,46.24444444444445,33.48888888888889,33.48888888888889,21837.121777777775
27,28.01,46.71000000000001,34.33222222222222,34.33222222222222,22397.075555555555
28,29.049999999999997,47.15444444444445,35.169999999999995,35.169999999999995,22965.58488888889
29,30.09,47.66222222222222,36.02555555555556,36.02555555555556,23543.784
30,31.130000000000003,47.94555555555556,36.81111111111111,36.81111111111111,24078.237333333334
31,32.16,48.236666666666665,37.596666666666664,37.596666666666664,24611.243555555557
32,33.2,48.623333333333335,38.412222222222226,38.412222222222226,25163.73688888889
33,34.24,48.693333333333335,39.124444444444435,39.124444444444435,25649.184
34,35.28,49.05555555555556,39.93333333333333,39.93333333333333,26199.48711111111
35,36.31,49.11666666666667,40.64,40.64,26687.97511111111
36,36.83,49.26555555555555,41.03444444444445,41.03444444444445,26942.236444444443
37,37.35,49.23444444444445,41.36666666666667,41.36666666666667,27182.652444444448
38,38.39,49.47555555555555,42.13444444444445,42.13444444444445,27704.492444444448
39,39.43,49.56444444444444,42.85111111111111,42.85111111111111,28197.077333333335
40,40.46,49.63111111111112,43.55888888888889,43.55888888888889,28668.962666666666
41,41.5,49.632222222222225,44.25,44.25,29151.32
42,42.54,49.65111111111111,44.94111111111111,44.94111111111111,29640.658666666674
43,43.58,49.812222222222225,45.684444444444445,45.684444444444445,30132.47111111111
44,44.61,49.82555555555555,46.37444444444444,46.37444444444444,30607.26044444445
45,45.65,49.85333333333333,47.07222222222222,47.07222222222222,31101.184888888878
46,46.69,49.81444444444445,47.743333333333325,47.743333333333325,31562.295111111107
47,47.73,49.83111111111111,48.43777777777777,48.43777777777777,32033.68177777778
48,48.76,49.69888888888889,49.08222222222222,49.08222222222222,32481.103111111108
49,49.8,49.87444444444444,49.82333333333333,49.82333333333333,32987.26933333334
50,50.84,49.92666666666667,50.52888888888888,50.52888888888888,33467.66133333334
51,51.88,49.75,51.157777777777774,51.157777777777774,33913.20533333333
52,52.91,49.70666666666667,51.82888888888888,51.82888888888888,34371.128000000004
53,53.95,49.93555555555556,52.593333333333334,52.593333333333334,34891.12977777779
54,54.99,49.888888888888886,53.26555555555555,53.26555555555555,35364.471999999994
55,56.03,49.89333333333333,53.955555555555556,53.955555555555556,35835.11555555555
56,57.059999999999995,49.9,54.64444444444445,54.64444444444445,36306.6
57,58.099999999999994,49.86666666666666,55.31888888888889,55.31888888888889,36778.70044444445
58,59.14,49.93222222222223,56.028888888888886,56.028888888888886,37269.124444444446
59,60.18,49.90555555555556,56.705555555555556,56.705555555555556,37739.51377777778
60,61.21,50.099999999999994,57.45666666666667,57.45666666666667,38238.26844444444
61,61.72999999999999,50.16555555555556,57.82222222222222,57.82222222222222,38486.94666666666
62,62.25,50.271111111111104,58.20222222222222,58.20222222222222,38758.62222222222
63,63.29,50.163333333333334,58.85333333333334,58.85333333333334,39213.73866666667
64,64.33,50.25555555555556,59.57111111111111,59.57111111111111,39699.84088888888
65,65.36,50.64666666666667,60.39111111111111,60.39111111111111,40254.20177777779
66,66.4,50.83888888888888,61.142222222222216,61.142222222222216,40769.21688888889
67,67.44,51.101111111111116,61.91777777777778,61.91777777777778,41297.823111111116
68,68.48,51.080000000000005,62.59888888888889,62.59888888888889,41762.678222222225
69,69.51,51.56111111111111,63.44555555555556,63.44555555555556,42338.58933333334
70,70.55,51.864444444444445,64.23444444444443,64.23444444444443,42878.89955555555
71,71.59,52.24777777777777,65.05333333333334,65.05333333333334,43427.68711111112
72,72.63,52.56888888888889,65.84888888888888,65.84888888888888,43975.26222222223
73,73.66,53.17111111111112,66.7388888888889,66.7388888888889,44573.99466666667
74,74.7,53.628888888888895,67.58222222222223,67.58222222222223,45138.397333333334
75,75.74,54.27,68.48333333333333,68.48333333333333,45744.76622222222
76,76.78,54.760000000000005,69.33444444444446,69.33444444444446,46321.76266666666
77,77.81,55.54555555555555,70.28888888888888,70.28888888888888,46957.699555555555
78,78.85,56.10333333333333,71.16333333333334,71.16333333333334,47547.984
79,79.89,57.091111111111104,72.18555555555555,72.18555555555555,48221.67288888889
80,80.93,57.955555555555556,73.16333333333334,73.16333333333334,48886.18044444444
81,81.96,58.86666666666666,74.1588888888889,74.1588888888889,49540.753777777776
82,83.0,59.89333333333333,75.19444444444444,75.19444444444444,50231.64177777778
83,84.04,60.833333333333336,76.19666666666666,76.19666666666666,50900.71555555555
84,85.08,62.489999999999995,77.44333333333333,77.44333333333333,51714.520000000004
85,86.11,63.78555555555555,78.57,78.57,52458.56977777778
86,86.63,64.45777777777778,79.13666666666667,79.13666666666667,52834.64266666666
87,87.15,65.14,79.71555555555555,79.71555555555555,53220.85511111111
88,88.19,66.82444444444444,80.96777777777777,80.96777777777777,54035.64711111112
89,89.23,68.50666666666666,82.22333333333331,82.22333333333331,54859.63022222222
90,90.26,70.24555555555555,83.5,83.5,55698.56355555556
91,91.3,72.27888888888889,84.87444444444445,84.87444444444445,56584.567111111115
92,92.34,74.65888888888888,86.36444444444444,86.36444444444444,57551.40355555556
93,93.38,76.77888888888889,87.76777777777778,87.76777777777778,58475.00266666665
94,94.41,79.28999999999999,89.3022222222222,89.3022222222222,59462.460444444434
95,95.45,82.11777777777777,90.94444444444444,90.94444444444444,60521.74577777777
96,96.49,84.97666666666666,92.60000000000001,92.60000000000001,61584.52177777778
97,97.53,88.21444444444444,94.38000000000001,94.38000000000001,62730.31111111112
98,98.56,91.91777777777777,96.31777777777778,96.31777777777778,63971.78577777778
99,99.6,96.89222222222222,98.68222222222222,98.68222222222222,65486.82311111111
