,alpha_in,alpha_out,alpha_inout,Power [nW]
0,1.04,13.456666666666669,7.248888888888889,28376.78888888889
1,2.08,26.85333333333334,14.462222222222222,54352.73333333333
2,3.11,30.856666666666666,16.985555555555557,77904.85555555555
3,4.15,34.897777777777776,19.52333333333333,102308.0
4,5.19,36.978888888888896,21.082222222222224,126001.77777777778
5,6.23,38.86222222222222,22.543333333333333,148052.88888888888
6,7.260000000000001,39.93111111111111,23.595555555555556,171133.77777777778
7,8.3,41.40111111111111,24.85222222222222,194200.55555555556
8,9.34,42.30777777777778,25.821111111111108,218403.33333333334
9,10.38,43.058888888888895,26.71666666666667,239826.88888888888
10,11.41,43.50222222222223,27.45888888888889,264184.8888888889
11,12.45,43.879999999999995,28.165555555555557,286172.6666666667
12,13.14,44.351111111111116,28.746666666666663,303206.55555555556
13,13.83,44.71888888888889,29.276666666666667,314914.77777777775
14,14.529999999999998,44.87777777777777,29.70111111111111,331951.22222222225
15,15.559999999999999,45.13777777777778,30.35111111111111,352909.77777777775
16,16.6,45.45444444444445,31.02777777777778,374639.77777777775
17,17.64,45.803333333333335,31.720000000000002,402763.22222222225
18,18.68,46.06888888888889,32.37111111111111,422281.44444444444
19,19.71,46.27666666666667,32.99444444444444,440822.77777777775
20,20.75,46.528888888888886,33.63999999999999,466444.1111111111
21,21.79,46.620000000000005,34.20444444444445,487604.0
22,22.83,46.842222222222226,34.83222222222222,511629.77777777775
23,23.86,46.787777777777784,35.32555555555555,533860.3333333334
24,24.9,47.041111111111114,35.97111111111111,555544.3333333334
25,25.94,47.25333333333334,36.596666666666664,578987.0
26,26.98,47.3811111111111,37.18,601054.7777777778
27,28.01,47.52,37.76666666666667,623093.6666666666
28,29.049999999999997,47.54888888888889,38.3,646578.4444444445
29,30.09,47.693333333333335,38.888888888888886,667345.6666666666
30,31.130000000000003,47.82333333333333,39.47555555555555,691834.4444444445
31,32.16,47.785555555555554,39.97555555555555,714565.7777777778
32,33.2,47.857777777777784,40.53111111111111,736335.3333333334
33,34.24,48.101111111111116,41.167777777777786,755462.4444444445
34,35.28,48.07333333333333,41.67555555555556,783202.3333333334
35,35.97,48.125555555555565,42.04666666666666,792373.6666666666
36,36.66,48.162222222222226,42.41,811125.1111111111
37,37.35,48.20555555555555,42.778888888888886,825429.8888888889
38,38.39,48.29,43.339999999999996,849652.7777777778
39,39.43,48.23333333333333,43.83,867659.4444444445
40,40.46,48.312222222222225,44.38777777777778,892654.8888888889
41,41.5,48.537777777777784,45.02,913510.5555555555
42,42.54,48.519999999999996,45.53111111111111,937162.7777777778
43,43.58,48.555555555555564,46.06444444444444,960378.0
44,44.61,48.531111111111116,46.57222222222222,983361.2222222222
45,45.65,48.555555555555564,47.10555555555556,1003853.3333333334
46,46.69,48.62222222222223,47.657777777777774,1026248.8888888889
47,47.73,48.64,48.18222222222222,1044200.0
48,48.76,48.61333333333334,48.690000000000005,1072818.888888889
49,49.8,48.64000000000001,49.22111111111111,1091824.4444444445
