,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,Power [nW]
0,adder,1.04,4.08,2.05,2.05,469.48
1,adder,1.04,3.79,1.95,1.95,461.733
2,adder,1.04,3.88,1.98,1.98,456.585
3,adder,1.04,4.19,2.09,2.09,488.619
4,adder,1.04,3.87,1.98,1.98,445.411
5,adder,1.04,3.97,2.01,2.01,457.021
6,adder,1.04,3.78,1.95,1.95,439.308
7,adder,1.04,3.59,1.89,1.89,447.431
8,adder,1.04,3.76,1.94,1.94,436.425
9,adder,1.04,3.8,1.96,1.96,213.222
10,adder,2.08,8.18,4.11,4.11,954.931
11,adder,2.08,7.76,3.97,3.97,911.025
12,adder,2.08,8.15,4.1,4.1,952.293
13,adder,2.08,7.53,3.89,3.89,893.811
14,adder,2.08,7.88,4.01,4.01,929.169
15,adder,2.08,7.56,3.9,3.9,897.335
16,adder,2.08,7.9,4.02,4.02,915.313
17,adder,2.08,7.69,3.95,3.95,918.603
18,adder,2.08,7.55,3.9,3.9,903.361
19,adder,2.08,7.74,3.96,3.96,524.569
20,adder,3.11,11.14,5.79,5.79,1335.81
21,adder,3.11,11.84,6.02,6.02,1393.04
22,adder,3.11,12.06,6.09,6.09,1405.84
23,adder,3.11,11.33,5.85,5.85,1349.88
24,adder,3.11,11.5,5.91,5.91,1361.56
25,adder,3.11,11.65,5.96,5.96,1374.96
26,adder,3.11,11.57,5.93,5.93,1382.35
27,adder,3.11,12.07,6.1,6.1,1421.23
28,adder,3.11,11.73,5.98,5.98,1383.53
29,adder,3.11,11.48,5.9,5.9,812.116
30,adder,4.15,15.11,7.8,7.8,1802.1
31,adder,4.15,14.71,7.67,7.67,1767.7
32,adder,4.15,14.76,7.69,7.69,1779.32
33,adder,4.15,14.86,7.72,7.72,1793.3
34,adder,4.15,14.55,7.62,7.62,1759.49
35,adder,4.15,14.41,7.57,7.57,1755.47
36,adder,4.15,14.28,7.53,7.53,1748.83
37,adder,4.15,14.31,7.54,7.54,1740.26
38,adder,4.15,14.84,7.71,7.71,1789.15
39,adder,4.15,14.82,7.71,7.71,1052.78
40,adder,5.19,17.63,9.33,9.33,2165.01
41,adder,5.19,18.05,9.47,9.47,2201.41
42,adder,5.19,17.36,9.25,9.25,2147.5
43,adder,5.19,17.65,9.34,9.34,2161.96
44,adder,5.19,17.74,9.37,9.37,2167.66
45,adder,5.19,17.11,9.16,9.16,2111.11
46,adder,5.19,17.39,9.25,9.25,2146.53
47,adder,5.19,17.72,9.36,9.36,2157.42
48,adder,5.19,17.26,9.21,9.21,2136.33
49,adder,5.19,18.34,9.57,9.57,1232.23
50,adder,6.23,21.25,11.23,11.23,2603.49
51,adder,6.23,21.15,11.2,11.2,2611.17
52,adder,6.23,21.05,11.17,11.17,2601.68
53,adder,6.23,20.31,10.92,10.92,2521.72
54,adder,6.23,21.43,11.29,11.29,2598.84
55,adder,6.23,20.44,10.96,10.96,2546.77
56,adder,6.23,20.51,10.99,10.99,2546.36
57,adder,6.23,21.02,11.16,11.16,2585.1
58,adder,6.23,20.79,11.08,11.08,2573.37
59,adder,6.23,20.36,10.94,10.94,1536.58
60,adder,7.26,23.47,12.66,12.66,2948.45
61,adder,7.26,23.48,12.67,12.67,2925.93
62,adder,7.26,23.35,12.63,12.63,2932.91
63,adder,7.26,23.09,12.54,12.54,2910.44
64,adder,7.26,23.0,12.51,12.51,2905.11
65,adder,7.26,23.91,12.81,12.81,2978.48
66,adder,7.26,23.26,12.6,12.6,2925.11
67,adder,7.26,22.99,12.5,12.5,2900.1
68,adder,7.26,23.0,12.51,12.51,2911.74
69,adder,7.26,22.7,12.41,12.41,1703.92
70,adder,8.3,24.96,13.85,13.85,3203.64
71,adder,8.3,25.65,14.08,14.08,3269.58
72,adder,8.3,24.77,13.79,13.79,3187.46
73,adder,8.3,25.74,14.11,14.11,3270.01
74,adder,8.3,25.98,14.19,14.19,3305.84
75,adder,8.3,25.98,14.19,14.19,3295.98
76,adder,8.3,25.46,14.02,14.02,3251.4
77,adder,8.3,25.7,14.1,14.1,3259.88
78,adder,8.3,26.29,14.3,14.3,3318.98
79,adder,8.3,25.48,14.03,14.03,1988.34
80,adder,9.34,27.91,15.53,15.53,3602.77
81,adder,9.34,27.34,15.34,15.34,3554.58
82,adder,9.34,28.14,15.6,15.6,3629.18
83,adder,9.34,27.68,15.45,15.45,3573.97
84,adder,9.34,27.75,15.47,15.47,3584.04
85,adder,9.34,27.66,15.45,15.45,3585.81
86,adder,9.34,27.64,15.44,15.44,3580.18
87,adder,9.34,27.76,15.48,15.48,3596.71
88,adder,9.34,27.25,15.31,15.31,3548.67
89,adder,9.34,27.9,15.53,15.53,2282.93
90,adder,10.38,30.18,16.98,16.98,3945.47
91,adder,10.38,29.65,16.8,16.8,3886.17
92,adder,10.38,30.43,17.06,17.06,3967.59
93,adder,10.38,29.49,16.75,16.75,3888.41
94,adder,10.38,29.7,16.82,16.82,3902.32
95,adder,10.38,29.41,16.72,16.72,3886.99
96,adder,10.38,30.04,16.93,16.93,3925.89
97,adder,10.38,29.55,16.77,16.77,3905.78
98,adder,10.38,30.17,16.97,16.97,3946.99
99,adder,10.38,29.63,16.79,16.79,2580.51
100,adder,11.41,31.24,18.02,18.02,4181.27
101,adder,11.41,32.07,18.3,18.3,4233.71
102,adder,11.41,32.3,18.38,18.38,4274.47
103,adder,11.41,32.04,18.29,18.29,4240.73
104,adder,11.41,31.05,17.96,17.96,4180.71
105,adder,11.41,32.3,18.38,18.38,4264.08
106,adder,11.41,31.81,18.21,18.21,4219.98
107,adder,11.41,32.2,18.34,18.34,4266.21
108,adder,11.41,31.73,18.19,18.19,4211.28
109,adder,11.41,30.68,17.83,17.83,2688.29
110,adder,12.45,34.19,19.7,19.7,4589.71
111,adder,12.45,33.39,19.43,19.43,4511.82
112,adder,12.45,33.49,19.46,19.46,4539.8
113,adder,12.45,32.87,19.26,19.26,4462.53
114,adder,12.45,33.2,19.37,19.37,4512.55
115,adder,12.45,33.28,19.39,19.39,4499.93
116,adder,12.45,33.75,19.55,19.55,4535.89
117,adder,12.45,34.32,19.74,19.74,4579.11
118,adder,12.45,33.15,19.35,19.35,4486.93
119,adder,12.45,33.65,19.52,19.52,2991.44
120,adder,13.23,34.75,20.4,20.4,4725.7
121,adder,13.23,34.5,20.32,20.32,4702.2
122,adder,13.23,33.65,20.04,20.04,4620.17
123,adder,13.23,34.1,20.19,20.19,4705.74
124,adder,13.23,34.92,20.46,20.46,4755.79
125,adder,13.23,34.39,20.28,20.28,4708.31
126,adder,13.23,34.72,20.39,20.39,4738.45
127,adder,13.23,35.3,20.59,20.59,4782.91
128,adder,13.23,34.85,20.43,20.43,4744.98
129,adder,13.23,34.4,20.29,20.29,3086.4
130,adder,14.01,35.69,21.23,21.23,4934.66
131,adder,14.01,36.4,21.47,21.47,4975.73
132,adder,14.01,35.47,21.16,21.16,4904.93
133,adder,14.01,35.61,21.21,21.21,4945.44
134,adder,14.01,36.21,21.41,21.41,4978.44
135,adder,14.01,36.03,21.35,21.35,4954.05
136,adder,14.01,35.99,21.33,21.33,4959.09
137,adder,14.01,36.34,21.45,21.45,4998.45
138,adder,14.01,37.02,21.68,21.68,5048.15
139,adder,14.01,35.82,21.28,21.28,3339.05
140,adder,14.78,36.84,22.14,22.14,5129.77
141,adder,14.78,36.66,22.08,22.08,5140.62
142,adder,14.78,37.23,22.27,22.27,5156.17
143,adder,14.78,36.97,22.18,22.18,5156.58
144,adder,14.78,37.33,22.3,22.3,5190.27
145,adder,14.78,36.87,22.15,22.15,5142.31
146,adder,14.78,36.21,21.93,21.93,5120.03
147,adder,14.78,36.96,22.18,22.18,5139.64
148,adder,14.78,36.62,22.06,22.06,5142.87
149,adder,14.78,36.06,21.88,21.88,3534.84
150,adder,15.56,37.77,22.97,22.97,5341.07
151,adder,15.56,38.23,23.12,23.12,5382.03
152,adder,15.56,37.65,22.92,22.92,5339.96
153,adder,15.56,38.53,23.22,23.22,5405.94
154,adder,15.56,37.67,22.93,22.93,5319.75
155,adder,15.56,37.52,22.88,22.88,5313.34
156,adder,15.56,38.56,23.23,23.23,5398.88
157,adder,15.56,38.19,23.11,23.11,5368.14
158,adder,15.56,37.72,22.95,22.95,5327.39
159,adder,15.56,37.83,22.99,22.99,3638.32
160,adder,16.6,39.51,24.24,24.24,5644.71
161,adder,16.6,39.09,24.1,24.1,5589.48
162,adder,16.6,38.87,24.02,24.02,5606.74
163,adder,16.6,39.08,24.09,24.09,5608.08
164,adder,16.6,39.05,24.08,24.08,5606.34
165,adder,16.6,39.39,24.2,24.2,5636.79
166,adder,16.6,39.07,24.09,24.09,5580.04
167,adder,16.6,39.21,24.14,24.14,5621.12
168,adder,16.6,38.87,24.02,24.02,5566.26
169,adder,16.6,39.21,24.14,24.14,3807.17
170,adder,17.64,39.97,25.08,25.08,5831.64
171,adder,17.64,40.29,25.19,25.19,5856.94
172,adder,17.64,41.24,25.5,25.5,5937.48
173,adder,17.64,40.12,25.13,25.13,5843.52
174,adder,17.64,40.52,25.27,25.27,5875.66
175,adder,17.64,39.31,24.86,24.86,5789.57
176,adder,17.64,39.96,25.08,25.08,5850.06
177,adder,17.64,40.69,25.32,25.32,5889.31
178,adder,17.64,39.73,25.0,25.0,5837.24
179,adder,17.64,40.67,25.31,25.31,3935.85
180,adder,18.68,41.06,26.14,26.14,6082.18
181,adder,18.68,41.61,26.32,26.32,6106.92
182,adder,18.68,41.43,26.26,26.26,6120.8
183,adder,18.68,41.66,26.34,26.34,6137.7
184,adder,18.68,41.34,26.23,26.23,6104.83
185,adder,18.68,41.81,26.39,26.39,6149.74
186,adder,18.68,41.46,26.27,26.27,6109.96
