,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,Power [nW]
0,1.03,1.03,1.03,1.03,8662.4877
1,2.08,2.08,2.08,2.08,8648.53716
2,3.11,3.11,3.11,3.11,8723.78766
3,4.15,4.15,4.15,4.15,8804.851139999999
4,5.19,5.19,5.19,5.19,8885.949299999998
5,6.23,6.23,6.23,6.23,8971.87716
6,7.260000000000001,7.260000000000001,7.260000000000001,7.260000000000001,9058.628159999998
7,8.3,8.3,8.3,8.3,9146.33694
8,9.34,9.34,9.34,9.34,9233.907000000001
9,10.38,10.38,10.38,10.38,9366.680400000001
10,11.42,11.42,11.42,11.42,9409.367400000001
11,12.45,12.45,12.45,12.45,9496.5162
12,13.33,13.33,13.33,13.33,9570.792600000002
13,14.229999999999999,14.229999999999999,14.229999999999999,14.229999999999999,9646.0074
14,15.119999999999997,15.119999999999997,15.119999999999997,15.119999999999997,9721.497600000002
15,16.01,16.01,16.01,16.01,9796.6104
16,16.9,16.9,16.9,16.9,9871.712999999998
17,17.79,17.79,17.79,17.79,9947.050200000001
18,18.68,18.68,18.68,18.68,10021.398
19,19.71,19.71,19.71,19.71,10108.659
20,20.75,20.75,20.75,20.75,10196.348399999999
21,21.79,21.79,21.79,21.79,10284.170399999999
22,22.83,22.83,22.83,22.83,10371.5844
23,23.87,23.87,23.87,23.87,10459.2636
24,24.9,24.9,24.9,24.9,10546.647
25,25.93,25.93,25.93,25.93,10633.8876
26,26.98,26.98,26.98,26.98,10721.6892
27,28.01,28.01,28.01,28.01,10808.9298
28,29.049999999999997,29.049999999999997,29.049999999999997,29.049999999999997,10896.864
29,30.09,30.09,30.09,30.09,10984.543199999998
30,31.130000000000003,31.130000000000003,31.130000000000003,31.130000000000003,11071.6104
31,32.01,32.01,32.01,32.01,11146.4376
32,32.9,32.9,32.9,32.9,11221.6728
33,33.79,33.79,33.79,33.79,11296.714199999999
34,34.68,34.68,34.68,34.68,11371.9698
35,35.57,35.57,35.57,35.57,11447.0826
36,36.47,36.47,36.47,36.47,11522.297400000001
37,37.35,37.35,37.35,37.35,11596.910399999999
38,38.38,38.38,38.38,38.38,11684.1102
39,39.43,39.43,39.43,39.43,11683.9062
40,40.46,40.46,40.46,40.46,11859.3972
41,41.5,41.5,41.5,41.5,11947.056
42,42.54,42.54,42.54,42.54,12034.9596
43,43.58,43.58,43.58,43.58,12122.2002
44,44.61,44.61,44.61,44.61,12209.522400000002
45,45.65,45.65,45.65,45.65,12297.324
46,46.69,46.69,46.69,46.69,12385.0644
47,47.73,47.73,47.73,47.73,12472.3662
48,48.77,48.77,48.77,48.77,12560.0964
49,49.8,49.8,49.8,49.8,12647.388
50,50.83,50.83,50.83,50.83,12734.7
51,51.88,51.88,51.88,51.88,12822.471000000001
52,52.91,52.91,52.91,52.91,12909.772799999999
53,53.95,53.95,53.95,53.95,12997.533599999999
54,54.99,54.99,54.99,54.99,13085.2842
55,56.03,56.03,56.03,56.03,13172.636999999999
56,57.059999999999995,57.059999999999995,57.059999999999995,57.059999999999995,13259.857199999999
57,58.099999999999994,58.099999999999994,58.099999999999994,58.099999999999994,13347.648599999999
58,59.14,59.14,59.14,59.14,13434.889200000001
59,60.18,60.18,60.18,60.18,13522.7112
60,61.22,61.22,61.22,61.22,13610.522999999996
61,62.25,62.25,62.25,62.25,13697.835
62,63.14,63.14,63.14,63.14,13772.448
63,64.03,64.03,64.03,64.03,13847.591400000001
64,64.92,64.92,64.92,64.92,13922.775599999999
65,65.81,65.81,65.81,65.81,13998.031200000001
66,66.7,66.7,66.7,66.7,14073.174600000002
67,67.59,67.59,67.59,67.59,14148.348600000001
68,68.48,68.48,68.48,68.48,14223.0432
69,69.51,69.51,69.51,69.51,14078.774400000002
70,70.55,70.55,70.55,70.55,14398.064999999999
71,71.59,71.59,71.59,71.59,14485.3362
72,72.63,72.63,72.63,72.63,14573.168399999999
73,73.67,73.67,73.67,73.67,14660.959799999999
74,74.7,74.7,74.7,74.7,14748.2412
75,75.74,75.74,75.74,75.74,14835.481800000003
76,76.78,76.78,76.78,76.78,14923.283399999997
77,77.82,77.82,77.82,77.82,15011.1156
78,78.85,78.85,78.85,78.85,15098.3562
79,79.89,79.89,79.89,79.89,15186.1986
80,80.93,80.93,80.93,80.93,15273.5106
81,81.81,81.81,81.81,81.81,15348.1032
82,82.7,82.7,82.7,82.7,15423.287400000001
83,83.59,83.59,83.59,83.59,15498.440999999995
84,84.48,84.48,84.48,84.48,15573.666
85,85.38,85.38,85.38,85.38,15648.8196
86,86.27,86.27,86.27,86.27,15723.9936
87,87.15,87.15,87.15,87.15,15798.698400000001
88,88.19,88.19,88.19,88.19,15885.9186
89,89.23,89.23,89.23,89.23,15650.5536
90,90.27,90.27,90.27,90.27,16061.521800000004
91,91.3,91.3,91.3,91.3,16148.8134
92,92.34,92.34,92.34,92.34,16236.604800000001
93,93.38,93.38,93.38,93.38,16323.9474
94,94.41,94.41,94.41,94.41,16411.1472
95,95.45,95.45,95.45,95.45,16498.9386
96,96.49,96.49,96.49,96.49,16586.781000000003
97,97.53,97.53,97.53,97.53,16674.011400000003
98,98.57,98.57,98.57,98.57,16761.8334
99,99.6,99.6,99.6,99.6,16476.080400000003
