,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,Power [nW]
0,dff,1.03,1.03,1.03,1.03,10198.7
1,dff,1.03,1.03,1.03,1.03,9337.08
2,dff,1.03,1.03,1.03,1.03,9349.04
3,dff,1.03,1.03,1.03,1.03,9342.9
4,dff,1.03,1.03,1.03,1.03,9342.79
5,dff,1.03,1.03,1.03,1.03,9345.82
6,dff,1.03,1.03,1.03,1.03,9331.21
7,dff,1.03,1.03,1.03,1.03,9344.18
8,dff,1.03,1.03,1.03,1.03,9334.63
9,dff,2.08,2.08,2.08,2.08,9418.19
10,dff,2.08,2.08,2.08,2.08,9417.43
11,dff,2.08,2.08,2.08,2.08,9421.58
12,dff,2.08,2.08,2.08,2.08,9425.38
13,dff,2.08,2.08,2.08,2.08,9421.4
14,dff,2.08,2.08,2.08,2.08,9418.37
15,dff,2.08,2.08,2.08,2.08,9427.7
16,dff,2.08,2.08,2.08,2.08,9421.26
17,dff,2.08,2.08,2.08,2.08,9418.27
18,dff,3.11,3.11,3.11,3.11,9506.35
19,dff,3.11,3.11,3.11,3.11,9498.95
20,dff,3.11,3.11,3.11,3.11,9504.06
21,dff,3.11,3.11,3.11,3.11,9498.9
22,dff,3.11,3.11,3.11,3.11,9501.34
23,dff,3.11,3.11,3.11,3.11,9502.11
24,dff,3.11,3.11,3.11,3.11,9504.91
25,dff,3.11,3.11,3.11,3.11,9504.68
26,dff,3.11,3.11,3.11,3.11,9506.03
27,dff,4.15,4.15,4.15,4.15,9593.89
28,dff,4.15,4.15,4.15,4.15,9589.45
29,dff,4.15,4.15,4.15,4.15,9591.42
30,dff,4.15,4.15,4.15,4.15,9588.19
31,dff,4.15,4.15,4.15,4.15,9592.65
32,dff,4.15,4.15,4.15,4.15,9592.41
33,dff,4.15,4.15,4.15,4.15,9593.44
34,dff,4.15,4.15,4.15,4.15,9589.89
35,dff,4.15,4.15,4.15,4.15,9590.73
36,dff,5.19,5.19,5.19,5.19,9680.49
37,dff,5.19,5.19,5.19,5.19,9678.53
38,dff,5.19,5.19,5.19,5.19,9678.29
39,dff,5.19,5.19,5.19,5.19,9679.3
40,dff,5.19,5.19,5.19,5.19,9679.86
41,dff,5.19,5.19,5.19,5.19,9678.81
42,dff,5.19,5.19,5.19,5.19,9679.69
43,dff,5.19,5.19,5.19,5.19,9678.62
44,dff,5.19,5.19,5.19,5.19,9683.56
45,dff,6.23,6.23,6.23,6.23,9772.61
46,dff,6.23,6.23,6.23,6.23,9772.57
47,dff,6.23,6.23,6.23,6.23,9772.73
48,dff,6.23,6.23,6.23,6.23,9774.45
49,dff,6.23,6.23,6.23,6.23,9774.88
50,dff,6.23,6.23,6.23,6.23,9772.9
51,dff,6.23,6.23,6.23,6.23,9773.68
52,dff,6.23,6.23,6.23,6.23,9771.85
53,dff,6.23,6.23,6.23,6.23,9773.91
54,dff,7.26,7.26,7.26,7.26,9868.74
55,dff,7.26,7.26,7.26,7.26,9867.49
56,dff,7.26,7.26,7.26,7.26,9867.59
57,dff,7.26,7.26,7.26,7.26,9866.41
58,dff,7.26,7.26,7.26,7.26,9868.42
59,dff,7.26,7.26,7.26,7.26,9867.77
60,dff,7.26,7.26,7.26,7.26,9866.67
61,dff,7.26,7.26,7.26,7.26,9869.15
62,dff,7.26,7.26,7.26,7.26,9867.84
63,dff,8.3,8.3,8.3,8.3,9963.24
64,dff,8.3,8.3,8.3,8.3,9963.67
65,dff,8.3,8.3,8.3,8.3,9962.68
66,dff,8.3,8.3,8.3,8.3,9962.34
67,dff,8.3,8.3,8.3,8.3,9963.69
68,dff,8.3,8.3,8.3,8.3,9963.51
69,dff,8.3,8.3,8.3,8.3,9964.25
70,dff,8.3,8.3,8.3,8.3,9962.65
71,dff,8.3,8.3,8.3,8.3,9963.94
72,dff,9.34,9.34,9.34,9.34,10059.0
73,dff,9.34,9.34,9.34,9.34,10058.8
74,dff,9.34,9.34,9.34,9.34,10057.8
75,dff,9.34,9.34,9.34,9.34,10059.4
76,dff,9.34,9.34,9.34,9.34,10057.9
77,dff,9.34,9.34,9.34,9.34,10057.7
78,dff,9.34,9.34,9.34,9.34,10058.7
79,dff,9.34,9.34,9.34,9.34,10060.2
80,dff,9.34,9.34,9.34,9.34,10059.0
81,dff,10.38,10.38,10.38,10.38,10599.5
82,dff,10.38,10.38,10.38,10.38,10154.5
83,dff,10.38,10.38,10.38,10.38,10153.1
84,dff,10.38,10.38,10.38,10.38,10154.7
85,dff,10.38,10.38,10.38,10.38,10153.6
86,dff,10.38,10.38,10.38,10.38,10154.5
87,dff,10.38,10.38,10.38,10.38,10153.8
88,dff,10.38,10.38,10.38,10.38,10153.2
89,dff,10.38,10.38,10.38,10.38,10153.3
90,dff,11.42,11.42,11.42,11.42,10249.6
91,dff,11.42,11.42,11.42,11.42,10250.6
92,dff,11.42,11.42,11.42,11.42,10249.9
93,dff,11.42,11.42,11.42,11.42,10249.7
