,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW],est [nW],err_est [%],VL,err_VL [%],area [um2],est_area [um2],est_area_err [%]
0,add0,46.66,49.05,47.46,47.46,9256.17,9590.737993,-3.61%,6530.31,29.45%,,,
1,add1,47.73,49.66,48.38,48.38,9500.88,10113.46025,-6.45%,6530.31,31.27%,,,
2,add2,48.05,49.91,48.67,48.67,9552.67,10209.06496,-6.87%,6530.31,31.64%,,,
3,mul0,49.97,46.7,48.34,43.34,45515.3,45795.71522,-0.62%,23533.3,48.30%,,,
4,mul1,49.96,46.62,48.29,43.29,45577.4,45795.71522,-0.48%,23533.3,48.37%,,,
5,mul2,50.04,46.43,48.23,43.22,45451.3,45040.06135,0.90%,23533.3,48.22%,,,
6,mul3,50.03,46.45,48.24,43.22,45632.8,45040.06135,1.30%,23533.3,48.43%,,,
7,reg_Q0,46.7,46.7,46.7,46.7,12283,12385.06468,-0.83%,2182.25,82.23%,,,
8,reg_Q1,49.05,49.05,49.05,49.05,12455,12560.0967,-0.84%,2182.25,82.48%,,,
9,reg_Q2,49.66,49.66,49.66,49.66,12503,12647.38816,-1.15%,2182.25,82.55%,,,
10,reg_Y,49.91,49.91,49.91,49.91,11997,12647.38816,-5.42%,2182.25,81.81%,,,
11,zfir_8bit,49.97,49.91,49.91,49.91,280760,,,,,,,
