,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,47.07,49.17,47.77,47.77,9277.28
1,add1,48.12,49.9,48.71,48.71,9553.37
2,add2,48.56,49.85,48.99,48.99,9623.09
3,mul0,55.03,46.89,50.96,45.46,49710.2
4,mul1,54.89,47.26,51.08,45.57,49568.2
5,mul2,54.94,47.07,51.0,45.51,49533.8
6,mul3,54.82,47.21,51.01,45.54,49584.0
7,reg_Q0,46.89,46.89,46.89,46.89,12294.0
8,reg_Q1,49.17,49.17,49.17,49.17,12467.0
9,reg_Q2,49.9,49.9,49.9,49.9,12526.0
10,reg_Y,49.85,49.85,49.85,49.85,11992.0
11,zfir_8bit,55.03,49.85,49.85,49.85,298904.0
