Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW],est [nW],err_est [%],VL,err_vl [%],area [um2],est_area [um2],est_area_err [%]
0,add0,49.07,50.9,49.68,49.68,9538.34,10204.100500724602,-6.98,6530.31,31.54%,,,
1,add1,49.93,49.62,49.83,49.83,9711.03,10340.26989534523,-6.48,6530.31,32.75%,,,
2,add2,49.42,50.15,49.66,49.66,9719.53,10353.757014966272,-6.53,6530.31,32.81%,,,
3,mul0,89.97,48.94,69.46,60.45,78422.0,78955.02272018213,-0.68,23533.3,69.99%,,,
4,mul1,89.95,49.21,69.58,60.58,78214.2,78955.65716986744,-0.95,23533.3,69.91%,,,
5,mul2,89.92,48.96,69.44,60.44,78207.2,78955.02272018213,-0.96,23533.3,69.91%,,,
6,mul3,89.97,49.22,69.6,60.6,78311.0,78955.65716986744,-0.82,23533.3,69.95%,,,
7,reg_Q0,48.94,48.94,48.94,48.94,12473.0,12560.096700745104,-0.7,2182.25,82.50%,,,
8,reg_Q1,50.9,50.9,50.9,50.9,12606.0,12734.700033042645,-1.02,2182.25,82.69%,,,
9,reg_Q2,49.62,49.62,49.62,49.62,12505.0,12647.388163528529,-1.14,2182.25,82.55%,,,
10,reg_Y,50.15,50.15,50.15,50.15,12014.0,12647.388163528529,-5.27,2182.25,81.84%,,,
11,zfir_8bit,89.97,50.15,50.15,50.15,426860.0,397309.06025198003,6.92,,,,,
