,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,47.75,49.58,48.36,48.36,9330.68
1,add1,48.67,49.77,49.03,49.03,9606.84
2,add2,48.66,49.87,49.06,49.06,9632.1
3,mul0,65.76,47.75,56.76,50.17,58601.1
4,mul1,65.73,47.76,56.75,50.17,58354.2
5,mul2,65.92,47.76,56.84,50.24,58552.0
6,mul3,65.77,47.55,56.66,50.08,58410.3
7,reg_Q0,47.75,47.75,47.75,47.75,12368.0
8,reg_Q1,49.58,49.58,49.58,49.58,12498.0
9,reg_Q2,49.77,49.77,49.77,49.77,12514.0
10,reg_Y,49.87,49.87,49.87,49.87,11994.0
11,zfir_8bit,65.76,49.87,49.87,49.87,338475.0
