Unnamed: 0,Components,alpha_in,power [nW],est [nW],err_est [%],,,,,
0,add0,10,6874.13,6637.553759,,,,,,
1,add1,10,7822.87,7285.559423,,,,,,
2,add2,10,8171.32,7737.552456,,,,,,
3,mul0,10,11367.4,10759.65949,,,,,,
4,mul1,10,11346.1,10759.65949,,,,,,
5,mul2,10,11457,10759.65949,,,,,,
6,mul3,10,11265.3,10759.65949,,,,,,
7,reg_Q0,10,10874,11071.6112,,,,,,
8,reg_Q1,10,11708,11859.39784,,,,,,
9,reg_Q2,10,12026,12209.52279,,,,,,
10,reg_Y,10,11727,12385.06468,,,,,,
11,glue,10,6929.88,0,,,,,,
12,sum,10,114639.12,112224.9001,2.105930227,,,,,
13,zfir_8bit,10,121569,112224.9001,7.69,,,,,
14,add0,25,8680.58,8512.989162,,,,,,
15,add1,25,9139.5,9222.364101,,,,,,
16,add2,25,9200.73,9290.957867,,,,,,
17,mul0,25,24191.7,23707.6727,,,,,,
18,mul1,25,24284.3,23707.6727,,,,,,
19,mul2,25,24387.7,24484.35614,,,,,,
20,mul3,25,24354,23707.6727,,,,,,
21,reg_Q0,25,11866,12034.96013,,,,,,
22,reg_Q1,25,12266,12385.06468,,,,,,
23,reg_Q2,25,12411,12560.0967,,,,,,
24,reg_Y,25,11910,12560.0967,,,,,,
25,glue,25,12163.49,0,,,,,,
26,sum,25,172691.51,172173.9036,0.299728934,,,,,
27,zfir_8bit,25,184855,172173.9036,,,,,,
