technology [nm],latency [ns],datawidth,num_pipeline_stages,toggling activity [%],action,energy [fJ],area [um^2]
45,10,8,0,12,add,8.9590,0
45,10,8,0,25,add,18.0611,0
45,10,8,0,38,add,27.4888,0
45,10,8,0,50,add,37.6605,0
45,10,8,0,62,add,37.7586,0
45,10,8,0,75,add,32.0974,0
45,10,8,0,88,add,30.6930,0
45,10,8,0,100,add,37.7508,0
45,10,10,0,10,add,10.0140,0
45,10,10,0,20,add,19.7895,0
45,10,10,0,30,add,29.5799,0
45,10,10,0,40,add,39.1933,0
45,10,10,0,50,add,49.4657,0
45,10,10,0,60,add,51.9286,0
45,10,10,0,70,add,47.3143,0
45,10,10,0,80,add,42.0380,0
45,10,10,0,90,add,40.6680,0
45,10,10,0,100,add,50.1477,0
45,10,12,0,8,add,10.8213,0
45,10,12,0,17,add,19.5950,0
45,10,12,0,25,add,29.4415,0
45,10,12,0,33,add,39.5330,0
45,10,12,0,42,add,50.4731,0
45,10,12,0,50,add,61.2708,0
45,10,12,0,58,add,62.5843,0
45,10,12,0,67,add,65.7753,0
45,10,12,0,75,add,53.0668,0
45,10,12,0,83,add,55.0110,0
45,10,12,0,92,add,47.0706,0
45,10,12,0,100,add,62.5446,0
45,10,14,0,7,add,9.3451,0
45,10,14,0,14,add,19.6115,0
45,10,14,0,21,add,30.5741,0
45,10,14,0,29,add,39.9857,0
45,10,14,0,36,add,50.6142,0
45,10,14,0,43,add,61.1834,0
45,10,14,0,50,add,73.0760,0
45,10,14,0,57,add,79.2171,0
45,10,14,0,64,add,72.3846,0
45,10,14,0,71,add,74.8267,0
45,10,14,0,79,add,68.1108,0
45,10,14,0,86,add,68.1516,0
45,10,14,0,93,add,61.4396,0
45,10,14,0,100,add,74.9415,0
45,10,16,0,6,add,9.7235,0
45,10,16,0,12,add,19.9460,0
45,10,16,0,19,add,32.3246,0
45,10,16,0,25,add,40.8219,0
45,10,16,0,31,add,52.4313,0
45,10,16,0,38,add,62.0229,0
45,10,16,0,44,add,72.1817,0
45,10,16,0,50,add,84.8812,0
45,10,16,0,56,add,89.1590,0
45,10,16,0,62,add,87.8261,0
45,10,16,0,69,add,84.6516,0
45,10,16,0,75,add,74.0363,0
45,10,16,0,81,add,80.0999,0
45,10,16,0,88,add,71.7221,0
45,10,16,0,94,add,70.4767,0
45,10,16,0,100,add,87.3384,0
45,10,18,0,6,add,10.1503,0
45,10,18,0,11,add,20.7865,0
45,10,18,0,17,add,30.8872,0
45,10,18,0,22,add,41.5341,0
45,10,18,0,28,add,51.6153,0
45,10,18,0,33,add,62.3401,0
45,10,18,0,39,add,72.4797,0
45,10,18,0,44,add,83.0682,0
45,10,18,0,50,add,96.6863,0
45,10,18,0,56,add,104.5070,0
45,10,18,0,61,add,99.4398,0
45,10,18,0,67,add,106.3710,0
45,10,18,0,72,add,98.6022,0
45,10,18,0,78,add,93.3094,0
45,10,18,0,83,add,87.7798,0
45,10,18,0,89,add,83.0445,0
45,10,18,0,94,add,84.1613,0
45,10,18,0,100,add,99.7353,0
45,10,20,0,5,add,10.5113,0
45,10,20,0,10,add,21.7820,0
45,10,20,0,15,add,31.3450,0
45,10,20,0,20,add,43.3376,0
45,10,20,0,25,add,52.2023,0
45,10,20,0,30,add,64.9257,0
45,10,20,0,35,add,73.0297,0
45,10,20,0,40,add,86.5335,0
45,10,20,0,45,add,93.8775,0
45,10,20,0,50,add,108.4910,0
45,10,20,0,55,add,113.7510,0
45,10,20,0,60,add,116.7840,0
45,10,20,0,65,add,109.5670,0
45,10,20,0,70,add,106.1150,0
45,10,20,0,75,add,95.0058,0
45,10,20,0,80,add,94.3269,0
45,10,20,0,85,add,98.8263,0
45,10,20,0,90,add,91.6535,0
45,10,20,0,95,add,87.3998,0
