technology [nm],latency [ns],datawidth,num_pipeline_stages,toggling activity [%],action,energy [fJ],area [um^2]
40,10,8,1,12,mul,142.3730,166.944
40,10,8,1,25,mul,177.9870,166.944
40,10,8,1,38,mul,202.4050,166.944
40,10,8,1,50,mul,226.4770,166.944
40,10,8,1,62,mul,242.5320,166.944
40,10,8,1,75,mul,242.7960,166.944
40,10,8,1,88,mul,268.9080,166.944
40,10,8,1,100,mul,357.4390,166.944
40,10,10,1,10,mul,197.1740,230.679
40,10,10,1,20,mul,238.5690,230.679
40,10,10,1,30,mul,263.1170,230.679
40,10,10,1,40,mul,270.2920,230.679
40,10,10,1,50,mul,322.0550,230.679
40,10,10,1,60,mul,336.8420,230.679
40,10,10,1,70,mul,343.9450,230.679
40,10,10,1,80,mul,337.7270,230.679
40,10,10,1,90,mul,359.2700,230.679
40,10,10,1,100,mul,522.2170,230.679
