technology [nm],latency [ns],datawidth,n_inputs,num_pipeline_stages,toggling activity [%],action,energy [fJ],area [um^2]
45,10,8,2,0,12,add,10.0498,0
45,10,8,2,0,25,add,13.3624,0
45,10,8,2,0,38,add,16.6844,0
45,10,8,2,0,50,add,20.011,0
45,10,8,2,0,62,add,23.3404,0
45,10,8,2,0,75,add,26.6599,0
45,10,8,2,0,88,add,29.9855,0
45,10,8,2,0,100,add,33.3101,0
45,10,9,2,0,11,add,10.9263,0
45,10,9,2,0,22,add,14.2525,0
45,10,9,2,0,33,add,17.574,0
45,10,9,2,0,44,add,20.8995,0
45,10,9,2,0,56,add,24.2236,0
45,10,9,2,0,67,add,27.5663,0
45,10,9,2,0,78,add,30.8772,0
45,10,9,2,0,89,add,34.2044,0
45,10,9,2,0,100,add,37.5302,0
45,10,10,2,0,10,add,11.5383,0
45,10,10,2,0,20,add,14.8636,0
45,10,10,2,0,30,add,18.1907,0
45,10,10,2,0,40,add,21.5165,0
45,10,10,2,0,50,add,24.843,0
45,10,10,2,0,60,add,28.1691,0
45,10,10,2,0,70,add,31.4962,0
45,10,10,2,0,80,add,34.8226,0
45,10,10,2,0,90,add,38.149,0
45,10,10,2,0,100,add,41.476,0
45,10,11,2,0,9,add,12.276,0
45,10,11,2,0,18,add,15.6062,0
45,10,11,2,0,27,add,18.9319,0
45,10,11,2,0,36,add,22.2625,0
45,10,11,2,0,45,add,25.5877,0
45,10,11,2,0,55,add,28.9155,0
45,10,11,2,0,64,add,32.2398,0
45,10,11,2,0,73,add,35.5675,0
45,10,11,2,0,82,add,38.891,0
45,10,11,2,0,91,add,42.2169,0
45,10,11,2,0,100,add,45.5424,0
45,10,12,2,0,8,add,12.7552,0
45,10,12,2,0,17,add,16.0921,0
45,10,12,2,0,25,add,19.4272,0
45,10,12,2,0,33,add,22.7584,0
45,10,12,2,0,42,add,26.0806,0
45,10,12,2,0,50,add,29.4032,0
45,10,12,2,0,58,add,32.7274,0
45,10,12,2,0,67,add,36.072,0
45,10,12,2,0,75,add,39.3816,0
45,10,12,2,0,83,add,42.7065,0
45,10,12,2,0,92,add,46.0326,0
45,10,12,2,0,100,add,49.359,0
45,10,13,2,0,8,add,13.5583,0
45,10,13,2,0,15,add,16.908,0
45,10,13,2,0,23,add,20.2447,0
45,10,13,2,0,31,add,23.5663,0
45,10,13,2,0,38,add,26.8824,0
45,10,13,2,0,46,add,30.2121,0
45,10,13,2,0,54,add,33.5409,0
45,10,13,2,0,62,add,36.8675,0
45,10,13,2,0,69,add,40.1871,0
45,10,13,2,0,77,add,43.5187,0
45,10,13,2,0,85,add,46.8443,0
45,10,13,2,0,92,add,50.1713,0
45,10,13,2,0,100,add,53.4966,0
45,10,14,2,0,7,add,14.2977,0
45,10,14,2,0,14,add,17.6625,0
45,10,14,2,0,21,add,20.9872,0
45,10,14,2,0,29,add,24.3014,0
45,10,14,2,0,36,add,27.6327,0
45,10,14,2,0,43,add,30.9653,0
45,10,14,2,0,50,add,34.2863,0
45,10,14,2,0,57,add,37.6098,0
45,10,14,2,0,64,add,40.9369,0
45,10,14,2,0,71,add,44.2684,0
45,10,14,2,0,79,add,47.5899,0
45,10,14,2,0,86,add,50.9188,0
45,10,14,2,0,93,add,54.2464,0
45,10,14,2,0,100,add,57.5733,0
45,10,15,2,0,7,add,14.9819,0
45,10,15,2,0,13,add,18.3553,0
45,10,15,2,0,20,add,21.6634,0
